(Intercept),FAM,MAM
-47.2987347694798,39.8677080363996,40.6346486106231
-270.464854631049,109.326459853413,14.7595466215207
-87.485887370698,23.2428997668467,18.8172068298736
-226.706841704879,-22.9541448602031,71.7594383211399
-77.4101145824679,7.11863873155562,19.1987599188324
-152.046658073319,23.8130555597872,13.2757723549585
-17.2538667808299,67.379240971437,-23.5309129643283
-59.6397968446327,-14.1831112525542,60.0046474516457
-198.532333514198,10.7370163474261,40.6549833380996
-410.234834654635,23.7413029054223,57.5874997166684
-199.707792709234,44.8918757374049,9.28864779626019
-36.2942309038772,-29.1433210967807,64.8092599002412
-53.5454055652317,50.9492395360139,-43.5187317950185
-110.137781740836,18.8584301175215,29.5212154130713
-227.91114750652,-20.1712441277341,45.0725804385875
-60.6452349752399,18.8309174649621,42.7309507946411
-9.45572609332157,44.0255756514962,73.1803458732611
-96.0432071638206,-34.0185898317141,133.071704094553
-164.745746850007,48.2753382296942,0.147340064737364
-148.156041570932,17.1845760054239,65.0213796376192
-408.927667039941,-3.65129233832704,96.7077072254942
-205.914757535698,-107.534398652012,194.16683344748
6.32493476855598,66.1590625325043,57.179832955444
59.3199185894919,74.407688322477,6.59430329178576
15.5015312695396,-14.1042473085108,99.069488205816
-295.730557991825,-19.958611369846,51.4046389941213
-98.4427010720538,44.9614465170889,1.30841156619135
76.6246994208486,-3.58818759053247,73.6468785807519
-214.903157790889,16.8975892712624,10.3025283810675
19.5248115051363,40.4187198635394,-16.4665990402136
-273.555057953639,37.8859593622037,29.6750922886131
-25.0568791260521,24.9132026653242,10.7194645739423
-42.4529524692043,69.1976474363037,39.5527597139517
-57.7300143955217,-4.4822423335645,98.0474118718193
-218.53334337641,21.9661147413626,30.3103185851069
-114.139945317263,20.841786469784,28.1560594418261
-247.466114819053,82.5457147579,-21.5363919468168
-150.677538614167,19.9042416010925,49.7909994674919
-165.841698077728,-37.5496501122543,111.953308393975
-225.551965242707,71.7349801594464,-9.22320719678373
-251.094215677032,25.7312643133337,48.3467223364787
1.47866830756539,16.6893129029049,30.8251720228873
-82.1766401117638,37.9447758464012,41.8001947855591
-94.9757925948143,22.8374531528534,14.3699266265903
-110.753714320716,8.05776983967235,29.7105091732956
-110.252007445088,67.257152480568,-23.9955364374327
-39.8474211873454,-18.9354113155241,86.7180306433002
-207.419233677887,-25.4331202376488,66.5814073449728
-43.082235009555,-7.50670776178595,52.6264149927883
