(Intercept),HAR1
-571.901927577739,27.7481753070606
-64.5031579070492,30.55675673519
-119.977596349418,22.5798192428756
-418.774200380183,-8.64465755398851
-76.2521254656604,7.43164477692335
-56.7456590849506,69.0572673187417
-131.850669493404,38.1636793781072
-149.312242615371,49.0993368304298
-12.4108547324286,-11.9110699978555
15.2716776248126,15.5183415602951
-234.309238469752,-4.63172811560071
-134.879355293975,22.4814252200013
-148.590814569983,4.84602270274991
-1.37118372284021,16.500732067756
-163.905708563994,54.1567616277825
-244.740471392433,42.053441309341
-431.251243126317,8.57871476716537
-46.3149974660591,2.0758434474119
-33.4995195302909,27.9696162011096
-223.514963279638,49.733257011103
-196.91666217173,36.9421175268362
-369.081378838935,-84.3174707333237
-230.99771922491,49.1538090141257
2.1362884324335,32.3881782758399
-435.778467798613,52.4878477015809
-293.280190661753,47.2015770285543
-247.841974696963,75.3048224746308
-336.73292311086,-22.5160277120194
-75.6940308364283,61.815644639224
-69.5121619632773,53.7321865759322
-312.906102244509,14.2860118975077
-104.275434672607,34.6860785797471
-200.283161348212,45.9300276105059
-168.155041612306,40.845275390031
-287.839399827626,23.1615795393227
-565.298185355452,28.126681834663
-181.579397804519,50.8564768633805
-53.222284636242,22.4973728066216
-247.6539667045,18.5724822097245
-359.576446668503,28.5095306804869
-342.880066991944,31.314301161925
-479.266637607754,-15.0618839458948
-347.533622803287,48.0089144566446
-234.710161365612,-17.7891252029876
-45.1871076584866,35.6836392639088
-323.635848855411,16.993759653953
-208.70798100956,7.59634343639482
-111.93072448334,33.0842502405867
-54.6605589506125,9.44981589989038
-144.284253799269,86.0448729169439
-254.753700490219,38.0791667425365
-176.907304769455,67.6728128424475
-164.085654729839,75.6342644559991
-97.9705690913834,15.4022835833603
-119.515134331523,63.7626576402254
-219.899777607017,32.994865835004
168.015632091557,14.700400452828
-205.575627911923,120.086182073312
-156.266763828113,127.935163983988
-266.20360015078,42.4737110943588
-233.745973420766,45.969607813342
-507.585161460807,53.0954291644885
-285.019690053254,72.5726914427578
-331.065984819754,22.2550776009739
-143.382965641264,85.6220087820548
-152.427569270949,39.0176337031735
-52.1710898375532,58.0768971063953
-121.141200596656,20.3883189646731
-34.6237016393279,35.5455214637914
-70.1341632096737,64.780094557975
-198.903897275566,49.0396541185619
-138.252070184986,29.9777183597325
3.53978877977352,56.5179306440114
-100.480703026344,22.172361195273
-48.9100329024368,29.6921687490903
16.5800013569824,21.33626044425
-64.1361877856325,20.1728524419377
-188.094654279281,29.6890725108792
-128.723525080481,43.700308674066
-35.4466993381357,1.17215071259488
-29.2805964260915,16.5835297333833
-20.4319192421972,36.5870707597787
-257.730667083888,45.7714009147603
-271.184169302986,38.4666611207213
-179.768932446954,83.5277183115322
-169.074275471088,83.5701472199216
-20.8290596001607,25.0346524148481
-61.5983059314458,99.3091105175845
-124.354071935581,72.6719080401381
40.6380278111626,35.7117322046433
-150.781890411025,115.041040158685
64.0422549953182,26.9201010438665
-83.3922790817887,45.2727702410266
-88.2075530984876,75.2204178692627
-410.722326288946,35.5005963558506
-216.853665461284,52.2908217974837
-324.366393993856,136.203670139104
-257.393560418794,18.6215489109745
-117.665510452374,41.6415597537998
-145.495703354653,33.8226931359641
-205.518831886817,26.3955276460474
-137.765988914136,30.0325601021977
-36.3976658173924,52.2694421457709
-236.619590291615,58.1210891932606
315.712144867895,43.3843167175364
-40.1342208710848,-13.0954566858882
-148.721661189877,30.0392511501996
