Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
15	-1228.765	-1234.617	5.851453	0.05777103	0.5156106	0.0422156	0.376778	0.0733264	0.654444	0.730741	1.26926	0.4092947	0.758764	1.31793	0.057771	0.515611	0.001391102	0.0013911	0.0013911	0.3312317	0.1168176	0.177712	0.062675	0.484751	0.17096	0.53652	1.46348	0.7438724	0.60548	1.65158	0.331232	0.116818	0.0428285	0.000436863
16	-1228.576	-1234.121	5.545781	0.02163525	0.5346707	0.0158098	0.390706	0.0274607	0.678636	0.730741	1.26926	0.4092947	0.758764	1.31793	0.0216353	0.534671	0.002911091	0.00291109	0.00291109	0.3312317	0.06154364	0.177712	0.0330194	0.484751	0.0900679	0.53652	1.46348	0.7438724	0.60548	1.65158	0.331232	0.0615436	0.0561598	0.000513675
17	-1228.608	-1233.31	4.70195	0.02069578	0.5346707	0.0164094	0.423932	0.0249822	0.645409	0.792885	1.20712	0.3115768	0.810458	1.23387	0.0206958	0.534671	0.002911091	0.00291109	0.00291109	0.4251792	0.08656818	0.1788	0.0364045	0.671558	0.136732	0.420529	1.57947	0.9809865	0.515991	1.93802	0.425179	0.0865682	0.0561598	0.000987281
18	-1229.237	-1232.931	3.693533	0.01925393	0.5069027	0.0183847	0.484019	0.0201231	0.529787	0.954855	1.04514	0.06697734	0.95583	1.04621	0.0192539	0.506903	0.0004541356	0.000454136	0.000454136	0.3976255	0.0668347	0.167213	0.028106	0.628038	0.105563	0.420529	1.57947	0.9809865	0.515991	1.93802	0.397626	0.0668347	0.0731851	0.00121829
19	-1229.041	-1234.052	5.010748	0.003709208	0.7509189	0.00198595	0.402049	0.00543247	1.09979	0.53541	1.46459	0.7459705	0.604623	1.65392	0.00370921	0.750919	0.0002812259	0.000281226	0.000281226	0.4376711	0.1001663	0.184054	0.0421229	0.691289	0.15821	0.420529	1.57947	0.9809865	0.515991	1.93802	0.437671	0.100166	0.0605606	0.000449263
20	-1229.665	-1233.113	3.448472	0.02482275	0.4317759	0.0161761	0.281373	0.0334694	0.582179	0.651664	1.34834	0.5389978	0.695205	1.43842	0.0248227	0.431776	0.0008570294	0.000857029	0.000857029	0.4288955	0.220456	0.180363	0.0927082	0.677428	0.348204	0.420529	1.57947	0.9809865	0.515991	1.93802	0.428896	0.220456	0.0547512	0.00409309
21	-1229.024	-1233.894	4.870161	0.004879434	0.604221	0.00317975	0.393749	0.00657912	0.814693	0.651664	1.34834	0.5389978	0.695205	1.43842	0.00487943	0.604221	0.002821163	0.00282116	0.00282116	0.2773227	0.220456	0.1355	0.107715	0.419145	0.333197	0.4886	1.5114	0.8371115	0.568574	1.75878	0.277323	0.220456	0.045472	0.0157466
22	-1228.512	-1234.059	5.547067	0.002595347	0.4643706	0.00169129	0.302614	0.0034994	0.626128	0.651664	1.34834	0.5389978	0.695205	1.43842	0.00259535	0.464371	0.00756397	0.00756397	0.00756397	0.2585551	0.220456	0.151516	0.12919	0.365594	0.311722	0.586012	1.41399	0.6529597	0.643769	1.55335	0.258555	0.220456	0.045472	0.0157466
23	-1229.382	-1235.76	6.378096	0.01406666	0.2375786	0.00916674	0.154821	0.0189666	0.320336	0.651664	1.34834	0.5389978	0.695205	1.43842	0.0140667	0.237579	0.00756397	0.00756397	0.00756397	0.2280693	0.05151643	0.133651	0.0301892	0.322487	0.0728436	0.586012	1.41399	0.6529597	0.643769	1.55335	0.228069	0.0515164	0.0433289	0.0157466
24	-1233.426	-1239.934	6.508529	0.01406666	0.2108064	0.0104646	0.156825	0.0176687	0.264788	0.743927	1.25607	0.3882955	0.769587	1.2994	0.0140667	0.210806	0.0018937	0.0018937	0.0018937	0.1843061	0.08422534	0.12239	0.0559304	0.246223	0.11252	0.664056	1.33594	0.5181886	0.705031	1.41838	0.184306	0.0842253	0.0505499	0.0157466
