Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
15	-790.5379	-805.1076	14.56966	0.001866708	0.0009792689	0.000898535	0.000471369	0.00283488	0.00148717	0.481348	1.51865	0.8517468	0.562989	1.77623	0.00186671	0.000979269	0.005699632	0.00569963	0.00569963	0.2565292	0.2406023	0.0909169	0.0852722	0.422141	0.395932	0.354411	1.64559	1.13819	0.46408	2.1548	0.256529	0.240602	0.00914782	0.0268094
16	-786.2468	-803.3188	17.07192	0.00302078	0.0004181242	0.00145405	0.000201263	0.00458752	0.000634985	0.481348	1.51865	0.8517468	0.562989	1.77623	0.00302078	0.000418124	0.009011971	0.00901197	0.00901197	0.1793588	0.0429135	0.0765894	0.0183248	0.282128	0.0675022	0.427018	1.57298	0.9665852	0.521028	1.91928	0.179359	0.0429135	0.00862616	0.0268094
17	-784.0112	-803.6349	19.62371	0.00302078	0.0001032016	0.00279511	9.54917e-05	0.00324645	0.000110911	0.925293	1.07471	0.110967	0.927886	1.07772	0.00302078	0.000103202	0.01315691	0.0131569	0.0131569	0.1793588	0.03341747	0.0765894	0.0142698	0.282128	0.0525651	0.427018	1.57298	0.9665852	0.521028	1.91928	0.179359	0.0334175	0.00862616	0.0268094
18	-792.3163	-803.9771	11.66082	0.01059415	0.09315854	0.00945685	0.0831578	0.0117314	0.103159	0.892649	1.10735	0.1597751	0.897837	1.11379	0.0105942	0.0931585	0.004175487	0.00417549	0.00417549	0.1793588	0.04538348	0.0765894	0.0193795	0.282128	0.0713874	0.427018	1.57298	0.9665852	0.521028	1.91928	0.179359	0.0453835	0.0119838	0.0268094
19	-789.038	-802.0288	12.99082	0.001611932	0.09315854	0.00154156	0.0890916	0.0016823	0.0972254	0.956344	1.04366	0.06476507	0.957257	1.04465	0.00161193	0.0931585	0.01115408	0.0111541	0.0111541	0.1753297	0.0119041	0.0758382	0.00514907	0.274821	0.0186591	0.432546	1.56745	0.954439	0.525314	1.90362	0.17533	0.0119041	0.0174436	0.0386069
20	-787.1076	-802.889	15.78134	0.001494107	0.0008499049	0.000560902	0.000319062	0.00242731	0.00138075	0.375409	1.62459	1.086002	0.480707	2.08027	0.00149411	0.000849905	0.01271625	0.0127162	0.0127162	0.2265105	0.04749531	0.0979762	0.0205439	0.355045	0.0744467	0.432546	1.56745	0.954439	0.525314	1.90362	0.22651	0.0474953	0.012285	0.0260624
21	-788.416	-802.191	13.77505	0.001087453	0.0008499049	0.00040824	0.000319062	0.00176667	0.00138075	0.375409	1.62459	1.086002	0.480707	2.08027	0.00108745	0.000849905	0.005448848	0.00544885	0.00544885	0.2104646	0.04749531	0.100208	0.0226138	0.320721	0.0723768	0.476128	1.52387	0.862373	0.558969	1.78901	0.210465	0.0474953	0.0126265	0.0625183
22	-785.3264	-804.2669	18.94046	0.002908006	0.008300147	0.00109169	0.00311595	0.00472432	0.0134843	0.375409	1.62459	1.086002	0.480707	2.08027	0.00290801	0.00830015	0.002582108	0.00258211	0.00258211	0.2400302	0.0001438053	0.114285	6.84697e-05	0.365775	0.000219141	0.476128	1.52387	0.862373	0.558969	1.78901	0.24003	0.000143805	0.017547	0.0285612
23	-782.7233	-804.0004	21.2771	0.0003085501	0.0004653567	3.04666e-05	4.59498e-05	0.000586634	0.000884764	0.0987411	1.90126	2.192599	0.227892	4.38805	0.00030855	0.000465357	0.003228159	0.00322816	0.00322816	0.2400302	0.001006825	0.0915363	0.000383956	0.388524	0.00162969	0.381353	1.61865	1.071639	0.485387	2.06021	0.24003	0.00100682	0.017547	0.0117488
24	-782.2399	-803.5457	21.30579	0.0006648669	0.0004653567	6.56497e-05	4.59498e-05	0.00126408	0.000884764	0.0987411	1.90126	2.192599	0.227892	4.38805	0.000664867	0.000465357	0.006083997	0.006084	0.006084	0.2400302	0.0001020834	0.117664	5.00418e-05	0.362396	0.000154125	0.490205	1.5098	0.8338939	0.56981	1.75497	0.24003	0.000102083	0.0178298	0.0305434
