(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
213.64424391606,-13290.472402612,-160.432602623725,-19407.4971721569,-187.566523413163,-255.136973628412,-186.933468555333
-171.695741297721,-11902.3094070168,-159.631641021013,-18262.4809533319,-2.02413520833943,-110.15985754822,33.8586077571381
-144.368370193464,-13166.4237257096,-192.411214193766,-16869.1102846654,-151.640103782265,-46.2410104135924,-137.415401976057
-138.980137858642,-14085.6725208289,-210.328785554462,-18589.1718641804,-171.883280425289,-162.980850092805,-218.579734553874
210.627221511721,-14479.0952114274,-349.299014946082,-17464.5058516635,-242.916882824327,-324.01950713883,-355.171385084046
423.867922883204,-14230.7638788337,-251.243267310943,-18855.4111927351,-295.459106102964,-320.906168955298,-244.734887311837
-596.035234072944,-16829.9353850784,-109.127555565938,-17270.2360296403,-83.2872013387423,-42.4013189800608,-147.99791475552
-345.309858614995,-17023.373978267,-257.707930657823,-18313.2640984332,-147.057125236694,-335.400915719365,-96.6821848753243
446.566199465018,-14297.3657516542,-279.76611761628,-15793.9567668567,-244.388466298697,-300.571674739749,-234.433221250411
75.8384204724134,-13688.1430859471,-256.8671761156,-14481.099283447,-278.33023452686,-360.074026781979,-221.516767015091
-36.8413708353182,-14242.6722210641,-102.549190711572,-14615.371940495,-59.0013453485153,-70.9264096516854,-132.414521547209
206.211710831685,-14675.3069329145,-228.264963011345,-14167.9124188994,-286.525310344237,-371.431565960957,-312.063526219782
-208.996633034752,-15165.6255552882,-269.868111902819,-12308.3108227216,-276.316415895499,-201.515494459454,-222.012904771662
-472.763029385809,-14536.9486482844,-287.079273983938,-11637.7031623099,-430.728748836395,-577.66715113484,-371.854595160716
-25.8263006250381,-15949.1122487218,-241.818246688861,-10520.5037219614,-187.048377803498,-216.795532602824,-268.640962702455
-2.60497380384186,-17988.8236296758,-375.669171554415,-12303.4484790139,-230.875116385689,-272.003549529152,-307.985029593889
-49.6747305794343,-19715.595148665,-156.411221697577,-13295.1493789469,-183.570539328837,-193.883856236593,-62.4344234501368
263.204898532771,-18518.1125976704,-372.599222198942,-14447.8508633341,-432.378692285973,-449.301290183736,-400.786261694433
31.1671313989386,-19649.6207916628,-163.699503464122,-16091.5576835572,-210.454928357307,-135.802552706256,-188.6381100578
112.762809960637,-19313.1658597673,-223.494395928428,-16410.8279149343,-184.360456576003,-216.753363874712,-75.462517395601
131.232974600687,-18271.0054081664,-384.858171020518,-17723.9732104577,-450.329114381893,-489.164008578402,-438.732209471331
-400.533813122311,-17511.1124480438,-115.295695048717,-18775.0892393646,-188.819832860601,-152.950507298068,-171.270525850763
-409.827507750626,-17017.3597053413,-394.363450305176,-19811.5822050414,-311.605493817493,-250.853941827838,-347.597068858136
-273.210657908436,-19793.9036952555,-352.500321136846,-19007.0122331566,-335.83037444923,-329.227193324914,-381.02031877128
