Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
15	-2110.546	-2112.676	2.13013	0.5150167	0.003297572	0.00963318	6.16797e-05	1.0204	0.00653346	0.0187046	1.9813	3.456492	0.0971627	10.292	0.515017	0.00329757	0.0318979	0.0318979	0.0318979	0.5963371	0.0009887944	0.0969901	0.000160821	1.09568	0.00181677	0.162643	1.83736	1.797303	0.297523	3.36108	0.596337	0.000988794	0.00688768	0.0161331
16	-2110.849	-2108.895	-1.953246	0.5150167	0.2168735	0.0057376	0.0024161	1.0243	0.431331	0.0111406	1.98886	3.843438	0.0748432	13.3613	0.515017	0.216873	0.04371638	0.0437164	0.0437164	0.5963371	0.0001051836	0.0969901	1.71074e-05	1.09568	0.00019326	0.162643	1.83736	1.797303	0.297523	3.36108	0.596337	0.000105184	0.0112279	0.00752868
17	-2108.656	-2109.856	1.199301	0.5321366	0.2168735	0.0037518	0.00152905	1.06052	0.432218	0.00705044	1.99295	4.184112	0.0594785	16.8128	0.532137	0.216873	0.0308584	0.0308584	0.0308584	0.6281823	0.0001109061	0.10217	1.80381e-05	1.1542	0.000203774	0.162643	1.83736	1.797303	0.297523	3.36108	0.628182	0.000110906	0.0112279	0.000622703
18	-2109.335	-2109.404	0.06872975	0.5459138	0.2168735	0.00384893	0.00152905	1.08798	0.432218	0.00705044	1.99295	4.184112	0.0594785	16.8128	0.545914	0.216873	0.03693158	0.0369316	0.0369316	0.6431494	0.0001109061	0.104604	1.80381e-05	1.1817	0.000203774	0.162643	1.83736	1.797303	0.297523	3.36108	0.643149	0.000110906	0.0112279	7.22208e-05
19	-2109.149	-2112.203	3.054923	0.5324057	0.1740586	0.00470833	0.00153929	1.0601	0.346578	0.00884351	1.99116	4.015471	0.0666438	15.0052	0.532406	0.174059	0.02272968	0.0227297	0.0227297	0.6431494	0.0001440365	0.104604	2.34265e-05	1.1817	0.000264646	0.162643	1.83736	1.797303	0.297523	3.36108	0.643149	0.000144036	0.0115212	0.000113627
20	-2119.388	-2119.303	-0.08437817	0.4754023	0.09176895	0.0287171	0.00554339	0.922087	0.177995	0.060406	1.93959	2.571682	0.176476	5.66651	0.475402	0.091769	0.03796343	0.0379634	0.0379634	0.6269849	0.004038727	0.101975	0.000656871	1.152	0.00742058	0.162643	1.83736	1.797303	0.297523	3.36108	0.626985	0.00403873	0.0115212	0.000416498
21	-2111.631	-2112.199	0.5684205	0.5349424	0.09176895	0.010093	0.00173144	1.05979	0.181806	0.0188674	1.98113	3.450007	0.0975886	10.2471	0.534942	0.091769	0.02083023	0.0208302	0.0208302	0.6269849	0.002598593	0.101975	0.000422643	1.152	0.00477454	0.162643	1.83736	1.797303	0.297523	3.36108	0.626985	0.00259859	0.0125179	0.00723277
22	-2116.082	-2111.327	-4.754683	0.5523605	0.3230807	0.00282245	0.00165088	1.1019	0.64451	0.0051098	1.99489	4.423481	0.0506107	19.7587	0.552361	0.323081	0.04187036	0.0418704	0.0418704	0.6269849	0.002598593	0.114511	0.000474599	1.13946	0.00472259	0.182637	1.81736	1.703244	0.31701	3.15447	0.626985	0.00259859	0.00892256	0.00273506
23	-2118.535	-2112.245	-6.28978	0.5164509	0.3230807	0.0253945	0.0158863	1.00751	0.630275	0.0491712	1.95083	2.728508	0.158762	6.29875	0.516451	0.323081	0.02940486	0.0294049	0.0294049	0.6318016	0.07642255	0.11539	0.0139576	1.14821	0.138888	0.182637	1.81736	1.703244	0.31701	3.15447	0.631802	0.0764226	0.00892256	0.0208122
24	-2116.491	-2110.765	-5.725931	0.5164509	0.2757009	0.00870657	0.00464789	1.0242	0.546754	0.0168585	1.98314	3.534216	0.0922003	10.846	0.516451	0.275701	0.03043977	0.0304398	0.0304398	0.6318016	0.1256718	0.11539	0.0229523	1.14821	0.228391	0.182637	1.81736	1.703244	0.31701	3.15447	0.631802	0.125672	0.00892256	0.00816318
