(Intercept),NAC1
-187.881517356975,66.2871159659967
-80.0103281495103,101.935849793976
-257.138425615587,169.645139897882
-72.0679608224746,58.496011349951
-167.270802139057,65.7562911070854
-196.955962891545,85.6140852646349
-301.852982608547,86.7573396843072
-224.212379996694,58.9379936921177
-249.653658805026,65.6554966715194
-186.27350401249,44.7233515625196
-337.302470021634,89.738326105944
-383.142313295888,132.907247116207
-280.603100801904,117.881278160719
-351.792074549441,114.885856958397
-122.731544371942,110.175667988908
-2.35307154544353,41.6585134253837
-293.361485180358,91.0867733999021
-376.425963214551,113.787609724779
-314.357737765196,157.059348756367
-272.479517373577,95.4894523667899
-438.658116201463,99.6581449575751
-540.870738528887,112.968178505005
-267.061510866151,287.017708993537
-1321.78857290364,123.188356553001
-445.985379357029,129.502354888624
-466.953503808079,191.708284462293
-521.521190011859,93.7762594353117
-633.892159094044,134.315580904469
-90.11443659832,136.879932315554
-783.209479286277,120.200981007394
-660.843760686672,183.65996773394
-273.226559238734,109.844246196793
-398.503693736973,105.214453134409
271.959923671129,79.9822587259405
-88.3556586159975,223.185335539016
-266.987821004244,179.658665653675
-577.560800951069,143.408363756
-592.2742262143,99.335673448506
-269.758998358454,190.233580797358
-301.534621583109,77.1539814844582
-209.138004020671,132.095299108587
-227.826950490911,134.748315804689
-277.814025828149,97.3069783551473
-172.934207849772,40.0246702050717
-225.68687307158,73.3352820448417
-228.724786795108,55.3019663504965
-288.350527684845,98.2487550011138
-358.28614689465,88.2961958698179
-78.1180818490211,111.652378044324
-523.224522810851,144.499994481561
-439.41876534617,133.443937878084
-416.795385624944,86.9777451020054
-645.788845444302,214.063067247429
-280.83481182612,113.717249130212
-308.422428584272,174.450640535346
-269.0983328578,126.407119315663
-307.430024775633,186.645416089988
-216.72618427001,146.812252587335
-121.488445613784,117.437140792321
-467.594843043582,90.4026653979672
-137.398927192145,109.566753677849
-278.598172965067,109.204835853481
-539.35286434312,83.2280833671975
-246.352727113903,23.803621879284
-353.396584492388,116.521871113393
-513.293703134583,116.603844347057
-105.931290252673,82.98818401889
-31.43977248581,111.282243563357
-764.673983766348,154.242260645973
-259.702215971425,103.523339722626
-268.345609841861,91.0977703804383
-5.71474970079726,42.2146595438389
-367.026880624591,54.1219577662414
-958.22789204173,135.435292943104
-323.238646426616,182.397892318797
-118.653703951553,113.535494375945
-671.619599396392,47.3501908552716
-388.507533974436,104.370080154222
-376.204293192102,153.914993402606
-343.923699043211,8.97691893849696
-480.696768106209,80.6221261550891
-88.6403829043556,48.8239420719401
0.720935535537137,45.5219178772822
-145.542049335912,52.7123895230325
-132.732530190056,58.8997320545022
-205.001906013946,53.0117438892012
-154.093919402239,38.4792914845457
-13.2322602731365,27.8844100231945
-78.8273016459061,14.7900955617806
-79.5612499636918,18.9388688353865
-96.4003135243329,15.3988651598593
-151.711894994238,16.8152260532952
-81.1757706174249,31.7718978835619
-42.6620868653335,21.9921154495096
-26.4707457479381,24.2481352805626
-96.7350088895728,19.437514993595
-139.634470452773,25.213681401714
-159.655320913997,35.4544828205835
-56.7111188125564,32.243589058693
-76.1322840700741,25.0583637569507
-4.29843021343549,19.7942944437236
-46.9228881417512,32.8344920631189
-63.6835487497901,36.9933019731398
-157.319270733552,46.4912360198723
-206.326204968369,33.8235491218584
-11.6119051107744,26.4124447636423
