(Intercept),NAC1
220.681758714491,248.473357200943
-780.761027373246,128.468708951696
-865.413695430063,80.9210776650871
-192.352358334756,135.671279120725
-310.755766004855,149.806269560955
-613.483291649609,30.0944939898909
-334.765912520816,89.0186835321365
-301.447190077804,126.441405998019
-383.413208811384,173.761409649542
-668.039270059176,129.666063474506
-801.543796336249,173.448978686763
-652.48642198071,145.696903942444
-248.761781895853,138.176892988704
-271.163377597084,136.582000672279
-742.266613304091,83.9363726613228
-604.811824546588,138.565475613723
-458.020118690765,153.540348789596
-301.437715003296,6.75952092444277
-151.426498512767,128.000703636095
-470.583292541342,139.481888029857
-622.844815091245,141.449343686942
-254.59811676589,148.658068743098
-357.297889853973,75.4529267816688
-153.894211673854,74.4938552072344
-379.331782031313,141.02586105965
-216.262559291994,114.919164513944
-305.326797974471,177.061278320063
-289.541852199105,83.8312315255753
-620.201221569707,83.9914259070574
-486.351797097625,94.767282865374
-377.565076824505,33.5720170273562
-233.81741497646,205.422812818142
-394.457042472408,91.1397469587391
-436.777565445605,110.891761354156
-832.902894823841,189.537285346014
-181.414523272746,104.995708802009
-443.400124409523,103.824694186711
-351.390338729369,64.8845722577535
-31.2001361578805,108.183328408788
-204.519329415096,127.234391028811
17.0968005140894,164.02494303992
-561.397939044298,172.97114525731
-439.576238344751,119.813635596962
-1.75052106201474,106.96999823278
-267.579760969093,160.924553414075
-65.6525025000738,66.4586571028049
-306.653555431463,76.5432044103218
-49.1215322188218,127.559580027111
11.1376668230951,99.0680408150074
-316.770688942415,116.826961484167
-471.38481477859,149.802424813737
-300.289480437306,96.7240728692886
-274.561927272676,64.1061884478549
-238.574628468574,135.94603895169
-275.460310525668,55.6392676923715
-327.718794731896,46.6165562956594
-217.118898036362,54.545048682523
-177.960016074117,51.2098432923231
-304.567647257543,77.2930405735824
-614.387325928954,122.855792045826
-379.18861501189,191.171330394209
-645.737522185955,184.797094652909
-102.575061020771,126.41070271876
-201.564216684961,118.645331644308
-210.827581737252,100.100913081988
-155.043880859208,93.0464934153279
-434.248515021725,78.7942711407118
-77.7601068192453,101.921445362663
-143.356619167869,171.167755219234
-407.526905833853,106.402087555798
-292.947093210067,82.8824272743514
-973.576391602197,63.2096870961977
-313.657506270732,21.9189846465015
-459.275893630173,158.745261135889
-261.199113111834,48.4021627278998
-483.338062578169,65.7185601133824
-228.590910239225,100.030887517976
-239.092403872492,99.2959617325205
-83.6255028992164,117.715135255276
-138.347211033806,57.8554971935228
-313.267153912253,92.7668628716201
-407.1135430918,73.494179767993
-144.154899672227,79.1407422476914
-172.641779885387,70.0980052547238
-452.479613829921,27.6010272652202
-664.402949674055,123.315271666332
-295.275470845008,74.5915267085948
-596.310476856641,135.500626812776
-271.181051242711,136.327912983063
-184.780825000529,77.0403999065893
-446.431628911159,66.03291781999
-119.27308351791,68.7906976194208
-611.683557099241,48.3558347106591
-370.646380947794,125.230714493991
-757.672560666317,199.925823304249
-41.0864388123753,83.3383518669725
-341.328464538745,236.862503518831
-668.110299169093,91.9444754524302
24.1788224033153,126.545900592435
-358.833174658866,149.100723594209
-792.341090529342,110.599122659791
-262.41676898484,75.7242207973031
-269.452413066283,163.959539235089
-359.63782829529,65.606265402108
-211.468726856416,65.2960214481427
-316.72452319492,92.2104968985877
-661.190958591578,60.8085856365324
-549.973960495176,117.910872165347
-106.513110570566,45.961743222615
-356.608148501677,86.0891760869999
-319.428398513344,50.0917844008945
-211.615782102075,50.0733361076418
-222.614354808946,77.3084624969201
-141.175040822993,70.9921567688143
-160.63882044889,75.1073238078461
-417.279484914616,60.9853304985227
-175.214841614739,46.1379732173664
-156.44894121353,39.8851377635729
-56.3645888391911,42.5769874245452
-233.452173063153,69.5712030248833
-284.825384009018,45.9723249920644
-209.63682481664,34.5726579236652
-179.845684909102,44.2816256619299
104.01251816054,39.0048659850727
-314.086006526355,77.7248694598093
-167.802546444378,77.8741628845019
-30.3864941869397,23.0651601155241
