Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
12	-518.6569	-535.2574	16.60045	0.003632821	0.0004269407	0.00313853	0.00036885	0.00412711	0.000485031	0.863937	1.13606	0.2029861	0.872047	1.14673	0.00363282	0.000426941	0.01628905	0.0162891	0.0162891	0.259693	0.0605911	0.515455	0.164261	0.1030987	0.04876521	0.0423067	0.0200109	0.163891	0.0775195	0.410351	1.58965	1.003911	0.508074	1.96822	0.103099	0.0487652	0.0308762	0.0104862
13	-524.166	-534.0737	9.907731	0.01617778	0.005866041	0.0139766	0.00506789	0.018379	0.00666419	0.863937	1.13606	0.2029861	0.872047	1.14673	0.0161778	0.00586604	0.02288492	0.0228849	0.0228849	0.273794	0.0645596	0.488467	0.17318	0.1193968	0.03269938	0.0510546	0.0139824	0.187739	0.0514164	0.427604	1.5724	0.9652909	0.521483	1.91761	0.119397	0.0326994	0.0380888	0.0417405
14	-520.8073	-533.2935	12.48611	0.001826787	0.0006688781	0.00163284	0.000597865	0.00202073	0.000739891	0.893833	1.10617	0.1579996	0.898913	1.11245	0.00182679	0.000668878	0.02288492	0.0228849	0.0228849	0.227442	0.0588419	0.555874	0.157842	0.1193968	0.0570085	0.0432105	0.0206318	0.195583	0.0933852	0.361907	1.63809	1.119291	0.470034	2.12751	0.119397	0.0570085	0.0541484	0.0417405
15	-522.1186	-534.3411	12.22248	0.001374207	0.003600483	0.00134424	0.00352196	0.00140418	0.003679	0.978192	1.02181	0.03233756	0.978425	1.02205	0.00137421	0.00360048	0.02520303	0.025203	0.025203	0.228894	0.0528318	0.559423	0.15885	0.146221	0.08550802	0.106971	0.0625552	0.185471	0.108461	0.731571	1.26843	0.4079675	0.759443	1.31675	0.146221	0.085508	0.046883	0.0417405
16	-521.5676	-534.3164	12.74889	0.001374207	0.004860394	0.000964091	0.00340987	0.00178432	0.00631092	0.701562	1.29844	0.4563511	0.735059	1.36043	0.00137421	0.00486039	0.02345185	0.0234519	0.0234519	0.228894	0.0528318	0.559423	0.15885	0.1297995	0.03686326	0.0884033	0.0251067	0.171196	0.0486198	0.681076	1.31892	0.4899243	0.718601	1.39159	0.1298	0.0368633	0.0373227	0.0417405
17	-518.034	-534.4111	16.37711	1.702599e-05	0.01383849	1.19448e-05	0.00970856	2.21072e-05	0.0179684	0.701562	1.29844	0.4563511	0.735059	1.36043	1.7026e-05	0.0138385	0.01346523	0.0134652	0.0134652	0.216114	0.0319121	0.613079	0.138895	0.1369399	0.03092198	0.106441	0.0240352	0.167439	0.0378088	0.777284	1.22272	0.3358272	0.79731	1.25422	0.13694	0.030922	0.0488783	0.0417405
18	-525.4642	-537.2934	11.82926	0.01958683	0.00987397	0.0082628	0.00416538	0.0309109	0.0155826	0.421855	1.57815	0.9780314	0.517021	1.93416	0.0195868	0.00987397	0.006727951	0.00672795	0.00672795	0.248721	0.036727	0.603067	0.111485	0.1297178	0.03250241	0.106973	0.0268034	0.152463	0.0382014	0.824658	1.17534	0.2626767	0.837635	1.19384	0.129718	0.0325024	0.0407282	0.0111876
19	-523.9097	-538.0575	14.14779	0.009479278	0.009573273	0.00508736	0.00513781	0.0138712	0.0140087	0.536682	1.46332	0.7435656	0.605605	1.65124	0.00947928	0.00957327	0.005793298	0.0057933	0.0057933	0.225677	0.0335882	0.638777	0.101958	0.1071831	0.02113446	0.0755973	0.0149063	0.138769	0.0273626	0.70531	1.29469	0.450259	0.738086	1.35486	0.107183	0.0211345	0.0358183	0.00364431
20	-521.061	-536.2363	15.17532	0.009479278	3.4174e-05	0.00508736	1.83406e-05	0.0138712	5.00074e-05	0.536682	1.46332	0.7435656	0.605605	1.65124	0.00947928	3.4174e-05	0.02098445	0.0209844	0.0209844	0.225405	0.0410324	0.638005	0.0955572	0.1405389	0.0167536	0.0641978	0.00765301	0.21688	0.0258542	0.456798	1.5432	0.9024409	0.544065	1.83802	0.140539	0.0167536	0.0367114	0.0466489
21	-515.9387	-536.8752	20.93651	0.000172633	3.4174e-05	0.000111729	2.21175e-05	0.000233537	4.62305e-05	0.647203	1.3528	0.5465381	0.691678	1.44576	0.000172633	3.4174e-05	0.005158928	0.00515893	0.00515893	0.218616	0.0400866	0.61879	0.122508	0.2418096	0.03317429	0.158999	0.0218134	0.32462	0.0445352	0.657538	1.34246	0.529109	0.699857	1.42886	0.24181	0.0331743	0.0481666	0.0197531
