Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
12	-483.951	-493.6572	9.706124	0.05035716	0.01301396	0.0460472	0.0119001	0.0546671	0.0141278	0.914413	1.08559	0.1272024	0.917781	1.08958	0.0503572	0.013014	0.01982036	0.0198204	0.0198204	0.0558333	0.571144	0.10792	0.265103	0.3475413	0.03798285	0.188656	0.0206182	0.506427	0.0553475	0.542829	1.45717	0.7320036	0.610346	1.63841	0.347541	0.0379828	0.0188664	0.0304897
13	-483.0129	-492.0945	9.081549	0.01163771	0.01125536	0.00278566	0.00269414	0.0204898	0.0198166	0.239365	1.76064	1.479222	0.368719	2.71209	0.0116377	0.0112554	0.008327068	0.00832707	0.00832707	0.0531789	0.543991	0.15033	0.2525	0.3508391	0.05740291	0.190446	0.03116	0.511233	0.0836459	0.542829	1.45717	0.7320036	0.610346	1.63841	0.350839	0.0574029	0.0250364	0.0244519
14	-483.5502	-493.4569	9.906728	0.008445638	0.01351452	0.0030949	0.00495239	0.0137964	0.0220766	0.36645	1.63355	1.107985	0.473632	2.11134	0.00844564	0.0135145	0.01686541	0.0168654	0.0168654	0.0531789	0.543991	0.15033	0.2525	0.3009209	0.05740291	0.150449	0.0286993	0.451393	0.0861066	0.499962	1.50004	0.8144782	0.577321	1.73214	0.300921	0.0574029	0.0167882	0.0231769
15	-478.7254	-492.9824	14.25694	0.0001606806	0.02801392	0.000107391	0.0187231	0.00021397	0.0373047	0.668351	1.33165	0.5110228	0.708447	1.41154	0.000160681	0.0280139	0.02384538	0.0238454	0.0238454	0.0531789	0.543991	0.15033	0.2525	0.3428088	0.04751438	0.177728	0.0246337	0.507889	0.070395	0.518448	1.48155	0.7783708	0.591554	1.69046	0.342809	0.0475144	0.00898464	0.0244489
16	-482.7025	-494.0653	11.36281	0.0005479387	0.01879405	0.000154263	0.00529114	0.000941615	0.032297	0.281533	1.71847	1.340968	0.404757	2.47062	0.000547939	0.018794	0.03027871	0.0302787	0.0302787	0.0663707	0.536411	0.148236	0.248982	0.3184075	0.09517178	0.188778	0.0564257	0.448037	0.133918	0.592882	1.40712	0.6407083	0.649111	1.54057	0.318408	0.0951718	0.00898464	0.0242175
17	-484.1956	-494.139	9.943359	0.0005479387	0.105146	0.000154263	0.0296021	0.000941615	0.18069	0.281533	1.71847	1.340968	0.404757	2.47062	0.000547939	0.105146	0.02964268	0.0296427	0.0296427	0.0686444	0.535105	0.147875	0.248376	0.3136965	0.0879503	0.185985	0.0521442	0.441408	0.123756	0.592882	1.40712	0.6407083	0.649111	1.54057	0.313697	0.0879503	0.00898464	0.0200129
18	-483.9548	-494.1192	10.1644	0.0001697303	0.193209	4.77847e-05	0.0543947	0.000291676	0.332023	0.281533	1.71847	1.340968	0.404757	2.47062	0.00016973	0.193209	0.02586656	0.0258666	0.0258666	0.0701824	0.547094	0.128783	0.253941	0.3342802	0.1161406	0.198189	0.0688577	0.470372	0.163424	0.592882	1.40712	0.6407083	0.649111	1.54057	0.33428	0.116141	0.0142937	0.0185011
19	-482.0748	-494.4815	12.40668	0.0001697303	0.01049544	3.86456e-05	0.00238969	0.000300815	0.0186012	0.227688	1.77231	1.521196	0.358427	2.78997	0.00016973	0.0104954	0.01137363	0.0113736	0.0113736	0.0696606	0.543026	0.127825	0.259488	0.3422962	0.1161406	0.202941	0.0688577	0.481651	0.163424	0.592882	1.40712	0.6407083	0.649111	1.54057	0.342296	0.116141	0.0116323	0.0435483
20	-486.396	-496.0691	9.673088	0.0006863683	0.1021373	0.000314004	0.0467264	0.00105873	0.157548	0.457486	1.54251	0.9009943	0.544596	1.83622	0.000686368	0.102137	0.01276682	0.0127668	0.0127668	0.0696606	0.543026	0.127825	0.259488	0.3486746	0.210582	0.2052	0.123931	0.492149	0.297234	0.588514	1.41149	0.6484877	0.645714	1.54867	0.348675	0.210582	0.0179173	0.0240334
21	-486.9307	-496.436	9.505271	0.007675813	0.1021373	0.00484557	0.064477	0.0105061	0.139798	0.631277	1.36872	0.5736841	0.679129	1.47247	0.00767581	0.102137	0.01450699	0.014507	0.014507	0.0662663	0.516567	0.170322	0.246844	0.3879078	0.0446846	0.228289	0.0262975	0.547526	0.0630717	0.588514	1.41149	0.6484877	0.645714	1.54867	0.387908	0.0446846	0.0251525	0.00935313
