Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
12	-96.06501	-117.6615	21.5965	0.0001172984	2.560132e-05	9.636e-05	2.10313e-05	0.000138237	3.01713e-05	0.821495	1.17851	0.2675185	0.834904	1.19774	0.000117298	2.56013e-05	0.006376608	0.00637661	0.00637661	0.432878	0.245318	0.232363	0.0894412	0.02518166	0.190284	0.0202353	0.152907	0.030128	0.227661	0.803573	1.19643	0.2950579	0.819539	1.2202	0.0251817	0.190284	0.0215276	0.090687
13	-93.60427	-117.8435	24.23927	4.641787e-06	2.630501e-05	2.28417e-06	1.29444e-05	6.99941e-06	3.96656e-05	0.492088	1.50791	0.8301268	0.571259	1.75052	4.64179e-06	2.6305e-05	0.03641375	0.0364137	0.0364137	0.656336	0.076088	0.210287	0.0572889	0.01757781	0.09952303	0.0141251	0.079974	0.0210306	0.119072	0.803573	1.19643	0.2950579	0.819539	1.2202	0.0175778	0.099523	0.0205799	0.0774457
14	-93.41352	-118.5931	25.17953	4.641787e-06	1.494312e-06	2.28417e-06	7.35333e-07	6.99941e-06	2.25329e-06	0.492088	1.50791	0.8301268	0.571259	1.75052	4.64179e-06	1.49431e-06	0.07707829	0.0770783	0.0770783	0.336594	0.194493	0.368517	0.100396	0.04149073	0.1256333	0.0246022	0.0744951	0.0583793	0.176772	0.592957	1.40704	0.6405765	0.649169	1.54043	0.0414907	0.125633	0.00853943	0.0552647
15	-93.62844	-118.4395	24.81106	3.116289e-05	1.494312e-06	1.53349e-05	7.35333e-07	4.69909e-05	2.25329e-06	0.492088	1.50791	0.8301268	0.571259	1.75052	3.11629e-05	1.49431e-06	0.01462705	0.014627	0.014627	0.140333	0.580349	0.23746	0.0418571	0.04149073	0.1174985	0.0246022	0.0696715	0.0583793	0.165326	0.592957	1.40704	0.6405765	0.649169	1.54043	0.0414907	0.117499	0.0170375	0.0710318
16	-94.00972	-119.1545	25.14475	9.20673e-06	2.742188e-06	1.72433e-06	5.13585e-07	1.66891e-05	4.97079e-06	0.18729	1.81271	1.682693	0.321435	3.11105	9.20673e-06	2.74219e-06	0.04559599	0.045596	0.045596	0.138428	0.572471	0.234237	0.0548635	0.008956833	0.07086591	0.00531101	0.0420204	0.0126027	0.0997114	0.592957	1.40704	0.6405765	0.649169	1.54043	0.00895683	0.0708659	0.00591925	0.0736913
17	-103.7215	-121.6939	17.97242	2.024861e-06	0.02184692	3.79237e-07	0.00409171	3.67048e-06	0.0396021	0.18729	1.81271	1.682693	0.321435	3.11105	2.02486e-06	0.0218469	0.01954777	0.0195478	0.0195478	0.131759	0.544893	0.222953	0.100395	0.05067403	0.07420406	0.0319702	0.0468152	0.0693779	0.101593	0.630899	1.3691	0.5743339	0.678831	1.47312	0.050674	0.0742041	0.0132303	0.041403
18	-103.4411	-119.2528	15.81177	6.833244e-06	0.02184692	1.2798e-06	0.00409171	1.23867e-05	0.0396021	0.18729	1.81271	1.682693	0.321435	3.11105	6.83324e-06	0.0218469	0.009534837	0.00953484	0.00953484	0.131759	0.544893	0.222953	0.100395	0.05067403	0.09964192	0.0171004	0.033625	0.0842477	0.165659	0.337458	1.66254	1.182123	0.45053	2.21961	0.050674	0.0996419	0.0132303	0.041403
19	-108.0966	-120.7204	12.62383	0.0009380799	0.005580301	0.000175693	0.00104514	0.00170047	0.0101155	0.18729	1.81271	1.682693	0.321435	3.11105	0.00093808	0.0055803	0.04181249	0.0418125	0.0418125	0.194111	0.329525	0.328459	0.147905	0.05067403	0.1463427	0.0442164	0.127694	0.0571317	0.164992	0.872565	1.12743	0.189968	0.879738	1.1367	0.050674	0.146343	0.00527273	0.041403
20	-109.8877	-121.6609	11.77316	0.007077011	0.00817459	0.00462852	0.00534636	0.0095255	0.0110028	0.654022	1.34598	0.5350236	0.697071	1.43457	0.00707701	0.00817459	0.0193132	0.0193132	0.0193132	0.503296	0.0640061	0.373053	0.0596447	0.06318194	0.1805347	0.0405154	0.115768	0.0858485	0.245301	0.64125	1.35875	0.5566436	0.68698	1.45565	0.0631819	0.180535	0.00765104	0.0445489
21	-102.088	-117.759	15.67104	0.0009706955	0.00817459	0.000780844	0.00657578	0.00116055	0.0097734	0.804418	1.19558	0.2937556	0.820259	1.21913	0.000970696	0.00817459	0.01163642	0.0116364	0.0116364	0.495498	0.0184064	0.47052	0.0155755	0.01728665	0.1245521	0.00852475	0.0614217	0.0260486	0.187682	0.493141	1.50686	0.8280249	0.57207	1.74804	0.0172867	0.124552	0.00765104	0.0445489
22	-102.6383	-117.5339	14.89552	1.80924e-05	0.1181922	1.61057e-05	0.105214	2.00791e-05	0.131171	0.890191	1.10981	0.1634626	0.895607	1.11656	1.80924e-05	0.118192	0.04465168	0.0446517	0.0446517	0.495498	0.0184064	0.47052	0.0155755	0.02390188	0.246013	0.0196007	0.201743	0.028203	0.290283	0.820049	1.17995	0.2697326	0.833658	1.19953	0.0239019	0.246013	0.00608304	0.0717131
23	-93.58662	-118.822	25.2354	4.416039e-05	2.119792e-05	3.93112e-05	1.88702e-05	4.90096e-05	2.35256e-05	0.890191	1.10981	0.1634626	0.895607	1.11656	4.41604e-05	2.11979e-05	0.0100479	0.0100479	0.0100479	0.495498	0.0184064	0.47052	0.0155755	0.02390188	0.1262689	0.0134926	0.071279	0.0343111	0.181259	0.564501	1.4355	0.6918747	0.627092	1.59466	0.0239019	0.126269	0.00978214	0.0335178
