(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
109.010269432765,226.109212073578,-217.971614331967,118.871699688134,-260.461550655818,-242.700290510533,-271.220859988396
-70.4751146341732,772.215356695655,-335.870666041381,-317.528665709775,-311.285363419011,-265.792365129571,-190.172727906698
-176.638680931443,493.191282215819,-70.2120013913664,0.849173924834759,-104.635701098025,-109.530065858598,-90.4121225928466
-250.988105001874,274.001535961339,-44.6335963279707,263.627328750299,-80.6208985007397,-49.9346896491479,-78.926425160229
-125.379356758793,410.559548049554,-94.814869275855,335.393203974432,-82.6182164425045,-87.7542223589844,-61.9504323116998
-36.685251994495,342.68658150328,-101.34146404668,215.777940007145,-116.051265215079,-80.9416668820486,-84.0565680766304
-119.088745538698,833.499253564922,-72.8798706206144,108.676948790904,-96.9542007618365,-74.3494268302311,-118.087296191195
13.5197778356523,201.2448578197,-108.934010513025,277.492579593134,-126.003693692161,-106.470812932996,-119.51251082861
-110.216667568595,514.712876879406,-38.707537206079,396.677507137851,-75.9976760125646,-60.9459423345379,-50.3271848220174
-52.4095131076174,787.105445747991,-30.5096969304759,-21.7591636937723,-42.6725545970839,-72.0131314241894,-35.3453340182605
-117.917965872752,879.956688738079,-17.1455011016315,426.82177776302,-40.3870220999816,-56.4273845630614,-17.3649710568425
-155.507341096294,569.444796512194,-104.442135662626,49.4720903197885,-110.862869904609,-50.4749715817452,-98.4756903044763
-83.6611599307216,77.6330219003321,-96.4170109152474,75.4296961047003,-119.847142624589,-131.193449382095,-120.835033202486
-100.73133405851,365.269879689062,-142.210836825667,72.8917799643878,-182.376259974553,-184.105828758755,-202.499345691103
-71.5845497823175,76.9055276996805,-123.095425478154,439.265790344851,-171.081245398662,-145.630192143442,-146.656431515046
-480.852410673739,595.3554364515,48.9520922570227,901.464823760834,-36.1880013030532,-5.05744066025363,-69.4501325701858
55.0796705056273,477.612629084531,-138.392722694873,621.103570986255,-210.155268644448,-119.475707416911,-227.000185783698
11.9113574976072,212.569269052983,-206.432161502307,319.612132589242,-353.866027690881,-288.672331745354,-345.161962151557
150.291649518098,594.141018165908,-130.949649744492,221.591420453583,-172.450021643133,-128.357431289376,-186.253265641746
-90.7992316140298,62.6647818522324,-96.3270794559066,-77.225651334651,-217.595006473872,-254.642386977187,-244.418693213374
-194.081159106378,633.907197248562,-3.93431849575427,525.958256313523,-14.2009938789161,-15.0897598005104,-90.7912922020041
8.10601466143271,104.089543000082,-95.0895171991579,480.617932682289,-95.5907692569126,-102.351401445791,-95.5706038748758
-240.31806110483,-60.6795056602896,-33.6812468716671,352.356533881831,-92.9325287541615,-68.6361274821393,-102.169755069997
108.326054719559,229.379962950426,-176.208447841913,441.93048290741,-211.981759175003,-167.816077465919,-189.340589253508
128.511357463125,727.499360523952,-44.1993472656759,39.3848938938008,-182.129663899497,-152.133380243786,-196.402244724028
-293.308666746139,371.082825114965,24.3127181966411,-149.202620908589,-23.870445314099,85.7354135789792,22.1046430157887
-10.6027505198945,277.086999015708,-104.198554226547,52.641667358519,-282.658335358661,-219.654075588536,-273.25915303317
