(Intercept),SDT1
-141.680518783913,-63.3460030366259
-263.394031747608,-165.693241129484
-214.419861519258,-117.173361198771
-365.915952358337,-161.828065151003
-361.523617688217,-3.91971314704278
-529.805247170574,-23.0478617470944
-627.001518991667,-111.221647161117
30.2440426181565,-89.4684013591323
-303.141007604419,-98.7513553773315
-184.586968403863,-142.319104698909
60.2875753772387,-124.650681787549
-633.415944086158,-29.5476381247754
-347.147618462332,-135.108795226348
-728.585319255137,-23.4037572175876
-395.960748603015,-119.650863311766
-7.10095047086361,-68.9407559743267
-270.723627348212,-111.860557260545
-43.1788259771711,-77.1731212155464
387.63006381342,-126.531276668625
-364.684845098833,-22.8155067501357
-708.307329015413,-144.431181746302
-336.032200582136,-84.0874385337447
-230.212154131994,-56.2910659104527
-505.367289894784,-64.2509649940257
-703.812644464124,-28.8394649096081
-309.582874706219,-92.9591651172377
-234.087439151073,-124.248343422863
-67.824978326571,-139.867243770917
-10.5674947728221,-85.9714592351957
-223.834175954747,-72.2134998719484
-112.876041774081,-38.4842947400982
-383.218987471097,-65.1681018222007
396.276583836421,-176.929521905549
-587.970361871645,-127.966493259039
-502.243710611368,-81.7126033314762
-294.988470271586,-51.7046723878557
-427.903330067158,-98.6436863839917
-808.676918838988,-114.185536262157
-233.167415488675,-99.8212508817669
-344.842833851122,-85.7919003643474
-234.185695872584,-86.4875258040702
-79.8094885405153,-72.355906216515
-235.723824065295,-73.6466313289711
-20.7994443457501,-38.6539789989693
-59.3031785469357,-35.4435126686385
-234.869818902955,-52.7585388451189
-325.238892043184,-114.561279062604
-245.444050189775,-53.9802473348682
-185.794478149306,-46.7890631311675
-133.818918718007,-84.6107415857477
-184.667549171485,-121.194977950785
-386.454336543975,-77.964797040855
-221.93491153281,-90.3459603251849
-259.967844910709,-42.864518906892
-113.251784514126,-138.944998856197
-315.974379530147,-76.3663355839017
-672.170536019214,-37.1520225246932
-264.768146176226,-40.7633709389593
-116.111809035727,-114.76285273266
-70.6427467761231,-11.0686201927383
-691.799307885434,-112.195915331962
-89.1722305261646,-94.0727528024581
-399.787552750902,-65.0637091984318
-590.780382378201,-86.042582386508
-323.891737823375,-48.6778220720371
-283.692238476855,-58.0415033531972
-237.698434306658,-58.8446526718144
-176.55962588609,-31.1525638824205
-113.285850829217,-45.9949978294744
-22.8123580347965,-52.8422536640574
-41.981319619299,2.39598903059959
-60.0227353324881,23.4674912044138
-105.938143400097,-39.6674774837738
-69.9687177379092,-15.1580259598413
-118.572460298725,-34.7693609234411
-90.7342192134292,-17.1815959883243
-39.9900449302222,-33.110511404906
-170.718266575823,-81.675175150689
79.8048326840508,-3.74962979831616
-34.042969732036,-35.365157484659
26.0908332990948,-126.833625528736
-103.473664604709,-128.79592775415
-150.79451937764,-9.88404521219854
7.75264476373559,7.99042739388824
-88.5265931583672,-70.126724770751
-191.392853901511,-82.5086847957136
179.070668619024,-141.391731077019
-126.796287442798,-62.3463152816548
-331.747203750728,-25.6670208235737
-70.7122568688137,-157.614923272198
-97.1207795541632,-69.5257123046395
-333.923670082972,-61.2489044779941
-187.186391852119,-131.384590585258
-33.9468401360937,-115.257505266432
-525.760700871513,-85.7240462792106
-482.990773572375,-64.9834047045006
164.354177843499,-66.390314435961
-485.196335020257,-35.0763770426274
-489.677663811912,-42.88300118607
-192.723586861975,-50.4425186728477
-38.2340959075827,-74.6700803080603
-456.179114230414,-24.8532103504986
-303.371697338794,-91.8679680015666
-38.0398263887473,-53.760812982036
-246.539357456608,-66.570099548393
-166.603917464017,-63.9543964164113
-223.672877417572,5.39295237924671
35.5816802226364,-33.6958425929188
-94.6177387842763,-28.8256398492013
-336.375985418243,-36.6455870117061
-186.141406019917,-49.6655399241135
-136.103173165116,-69.9385746976623
-241.749105721407,-37.9310944331228
-249.713690933269,-64.5413682882936
-231.433558254161,-93.6010725288943
-98.145131674275,-52.5037209279399
-133.034493512285,-93.625607742375
-170.481621255349,-37.2590814186042
-178.737602372919,-148.97727221933
-618.56942525292,-38.8114446894615
-305.591576185267,-32.2434620685672
-94.825322018005,-54.6115602738937
175.602389846989,-102.658374574399
-274.54430460521,-115.216329348383
-249.54063849464,-89.6697068167441
-60.8654282054304,-148.708749293624
-430.762555151225,-101.702913498288
-100.681648883037,-108.599503447902
-140.142738591472,-133.406375821694
-277.837910292932,-170.565465285656
-1033.71852814109,-96.3650076462582
-516.236220999614,-172.714101336111
-565.46344146238,-74.5916476015409
-419.288011572004,-18.3967112263344
-227.131992410297,-53.7145899582538
-209.029348399738,-83.1064787267314
25.9669787545718,-88.4261670994019
-23.8302753372991,-104.471508861501
-26.9610356082248,-195.595503900593
-45.0015582253691,-103.356178820943
-234.250625756627,-53.1880339324998
-390.157030141949,-89.9096511204552
-42.5760959993931,-100.416244524131
-303.617995487315,-54.1590293884874
-218.268501192539,-85.9016634677537
-131.163656484336,-119.302749111208
-357.230622681498,-11.5204435264532
-680.747519889381,-128.259659561882
-305.170325709058,-119.385195997602
-415.342717768639,-118.042869216384
43.228990286414,-100.606117393014
-977.463972405581,-93.1653468485529
-410.044811705411,-55.9727046202752
-278.031920405329,-111.243085878526
39.2877834133978,-114.748751831605
-230.6894615487,-80.3860663344094
-311.107638933703,-49.7261572246862
-198.324798918795,-92.898632961007
-289.439471689355,-118.414354431889
-189.570510998718,-39.177688126998
-377.720205075653,-176.868898564178
-446.023968538801,-110.706168929079
-276.545825805631,-114.345472011802
-439.275008775803,-70.2812035050592
-107.665455965049,-109.710179856796
-397.677678023174,-27.7534562076253
-298.801748513601,-32.9941658176213
-357.94422648543,-54.7985688666959
-129.231282091569,-68.9808133531187
-44.3319357861328,-90.2539231025003
-24.2233258488413,-72.0525238005503
-43.4711862999975,-73.0309458990378
5.50139515553019,-66.3029593372194
-0.699114424263826,-56.3838487306348
-172.161907133268,-76.1005479577871
-155.191709505816,-50.1705921881949
-80.3479623297171,-89.8445690075487
-27.1470717691409,-91.0943919133279
-389.732515441607,-106.65499456643
-199.17441003141,-120.604867631459
-205.585199805806,-97.1210909638248
-155.522816032666,-60.8588365606302
-241.155800456073,-62.7316365953302
-60.7637494583905,-53.8369618185534
-336.483045244648,-48.9535339419708
-438.383128362046,-37.3751534712719
-317.785325815348,-80.1426668375207
-136.693764592754,-46.0145497361664
-361.765464659285,-14.3425068093275
-99.7250585417205,-90.7270587757521
-63.6334368776588,-60.2456167955206
-37.8345837316883,-66.2715349550513
-122.414050502648,-61.0329601461999
-209.573966086318,-24.7665184875077
-273.351932883721,-53.0473202728463
-346.353860031166,-21.8807948916219
-243.8624456834,-15.1544022199814
-77.1131416816835,-21.3990585867123
-286.357999016544,-50.2764885696233
-84.8299513531092,-35.8573427309784
-108.150185499399,-39.6049661573634
-88.1115404879893,-52.9764929884695
-172.910314552144,-17.0808908271265
-102.48462115867,-37.7604825421877
-158.548605456435,-38.1354638346711
-101.768872731118,-64.5088862384146
-114.852490390754,-44.5651131078812
-62.9308083772048,-26.9934726010761
46.3188140481943,-14.8517104419298
-120.998299550949,-38.6364840412607
-208.05914513371,-15.4841259009263
-55.3424399469222,-79.1522128031284
-206.529237270444,-51.4210295822995
-131.111197723687,-56.9675019489951
-63.6751279406017,7.21940429094684
-122.384364278365,-46.4702167410214
-251.042028545715,-52.4014600605733
-205.741425420099,-56.3413931395917
-119.498504445753,-38.6437798016959
-5.03682758478681,-16.0889680866094
-105.060637263538,-37.3752549560377
-33.7219701589129,-51.9885264090335
-83.9293415431748,-34.2175770947651
-118.747650533158,-47.0740278175945
-222.416713323997,-35.0656633958861
-44.1521821305578,-15.0575636317662
-151.359848361437,-5.03754056110211
-87.1460124191908,-59.1474675326463
-343.387427664624,-60.3001783395011
44.8876955436181,-8.44538529556303
-24.8491392281285,-46.4279057617414
-212.378129276534,-40.997868393104
-233.27752387803,-43.6954462543072
-230.998986554681,-57.5436345413473
-128.622662546826,-47.8836662340218
-200.995947378571,-41.9366055312275
-492.867644156839,-37.3702230979252
-207.448517302844,-46.6761401851109
-288.924288214388,-67.1354808909291
-16.8210732970183,-72.4884994092863
-272.996948437794,-121.880698592722
-127.451874167433,-87.0309672096628
-188.001186365989,-41.2580743076833
-76.9284050503629,-42.4825345576537
-160.990219473371,-17.4461020002636
-206.940511810953,-17.8841934845041
-290.367760016881,-79.6609881791228
-100.969834524694,-101.727785771145
-434.949033695251,-77.5468370011222
-190.283938087171,-97.0701742868114
-548.002046734313,-119.334897401131
11.6251417758394,-117.818359800247
-107.850712738058,-188.477126101294
-205.834012169085,-197.960154937784
-222.081641664321,-78.2158019506751
-322.659021357511,-44.0631885624171
-491.085601418876,-92.8981902798732
-748.488386889145,-182.993282153751
28.5349576270819,-162.384978581409
-545.884076435847,-132.526565647902
-562.195090215464,-115.638399663032
31.9522726555006,-90.0978378130822
-568.139770268128,-193.517761503637
-584.959440968487,-75.1778668698971
-431.653295529955,-108.357834382274
528.792000020389,-99.3683579565841
-242.45180615654,-96.6700843108119
-213.105414251913,-61.6076617821782
-157.464317644917,-73.8682188585735
-430.838538438155,-42.2442603666423
-161.279017856214,-115.770206033991
-13.4365267973481,-40.6926844807458
-235.716791234998,-90.7001112122671
-179.514482625234,-86.3777306757693
-445.457105297715,-143.281959491167
-310.21715092934,-77.293608059601
-210.087999558309,-88.6079242571286
-93.6589019130588,-64.7308082055902
-152.135754094161,-80.1508959938292
-399.377246905846,-137.404265708523
-218.604842776331,-91.3099480809324
-460.256238984941,-70.6273165099847
-344.205283847296,-170.849844609955
-311.637452556301,-38.632809727249
-442.836788100904,-82.3272045584163
-261.721976591012,-83.6903046896041
-343.390128288265,15.3494502919493
-457.330136771245,-117.481972767855
-178.700923316792,-107.257534560584
88.7637945343267,-57.6234359483715
-156.654232268964,-18.9277278272239
-239.845219073788,-40.9070702408353
-238.277960056788,-57.4225020112935
-187.287265285941,-68.8844867366133
-510.023369078001,-58.8070337136614
-472.8236662037,-106.101597275265
-132.06184136185,-42.0620301413583
53.9686854944448,-37.0233112579153
-193.987211360443,-108.677464657685
-141.893943531904,-41.3922918631579
-66.917492429624,-49.3510079570524
-478.473219327709,-54.98102308136
-192.070008624942,-113.265270931413
-90.1722147960536,-52.6525408265588
-11.1453432550788,-74.7275356883329
-479.564068584994,-80.223077379771
-174.303252694517,-74.7009720481874
-582.776496451144,-79.9831027585315
-187.258548440594,-173.468430726437
89.6382923676574,-118.555402010112
-181.028199016699,-84.3321054261942
-210.448101871298,-115.940894908475
-351.966617387548,-55.4103691303026
-159.155238623403,-80.5606294505706
-149.180238645509,-60.6927188863629
-222.771266666095,-99.4116559429094
-550.087933995994,-24.6957704782544
21.6107722777524,-130.667335629306
-655.042812806176,-58.872976471117
