(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
-604.186022176997,107.338540576311,-41.1584331505219,-124.934495770256,16.2802185398177,1.56292826557547,305.323644908523,-188.477180181239
-588.345100864841,128.990789242884,-32.1115664280951,-291.404013350257,16.5052798600809,1.47004179737269,-205.961207348606,-208.571162506045
-291.728846994331,180.263726108053,-31.1782068799075,-170.749081348928,6.03950588146108,7.20379456105002,178.665513324597,-88.8283332378778
-421.563189979497,143.896501947609,-55.1914615829301,-149.626238846358,36.7264523218328,4.11828749190317,68.7537083001662,-263.00894101747
-782.673262350183,141.617278361919,-35.2086581544318,-122.364402759689,20.9754458623629,-3.47738947896141,-1139.38956099923,-110.310839869388
-341.50655519549,154.434014620347,-2.95308422080234,-254.373309005437,21.5239230362931,6.1097007376718,-129.589856753941,-145.469670811348
-195.414032793953,77.602728307389,-56.0252815706044,-138.101039596251,43.4951707653381,-0.693874618700647,805.758344359157,-242.446531875667
-374.162860264303,107.25548291688,13.2710197705746,-150.200277402313,16.9896091278497,3.76131726927997,-344.688527030454,-13.1406804758008
-466.043099796116,86.8920671108644,-15.7068944005005,-189.868175672891,17.4200768345909,3.3617598748242,52.5495974051009,-101.295256161844
-304.124715572689,106.877477346396,-47.3506484958343,-176.939834997218,25.032634470932,0.163523605555383,-445.761015919605,-127.346444140014
-43.5791385379835,134.976403262612,-42.158816287978,-113.627636950492,22.5970083492866,-0.0188534829831042,-2057.69268939917,-133.584484419735
-365.315720457264,235.162155774316,-17.2193527551863,-275.865195376216,22.5319262687881,-0.200471305419342,-477.682347450101,-229.696139265841
-224.821802803723,155.489487497158,-44.3598012123257,-201.909468092805,29.651961144169,1.55404362836998,-554.165393274918,-179.174569596065
-320.78347793904,175.055476129477,5.00776860616315,-233.73747372166,24.1833862488311,1.78216992043599,-459.546439411104,18.2220116982062
-355.352349866844,160.036565220362,-48.2604974563583,-103.905784001334,-1.29162944775453,-0.823675133229699,-1474.16740933479,16.2905898850531
-586.388024295622,152.656323303905,21.3509971379244,-338.528807365175,20.7563548801991,4.31664130371956,-130.56391950704,-79.5906752713927
39.8822114056238,177.130426547199,-94.6374564101206,-281.309563954579,12.2140045123087,4.36903652697947,-1089.06597672525,-277.164211661555
-61.02405415877,121.539843459968,-14.5224056533189,-111.302788787318,21.2355544807215,3.68356940531885,-1123.03107513969,-114.054286667262
-204.720531743515,194.700198949471,-68.5485787280923,-267.655716872338,28.9396082376188,-0.347734588911408,-2407.37611334746,-180.249900332448
-441.444230581301,158.919630408709,27.042666215093,-265.571775566459,14.3085056042037,5.25576003610058,1117.88024322005,-60.1279743242849
-785.181825177693,166.205376112331,20.5007611840665,-206.116370238471,2.25293340356984,2.78681736229919,30.8186400608629,136.511330957369
-155.790037274106,212.575214725708,-34.0951881463261,-154.16976170399,5.70946197659214,7.44986097018409,-271.197806978642,-73.1215561148492
-189.478788332199,302.237919836902,-79.3839831092773,-448.95184270294,16.1506132100203,-2.84145396906752,-2133.49863447198,2.56155155917895
-156.62495783178,133.342541466176,-45.5062602298858,-186.000173406821,19.8642031242416,-3.03510939779699,-1273.62119308471,-45.1098976637149
-713.903281553838,163.705713605945,-25.3185241794272,-127.806513461299,14.3066569148214,0.952724630216835,-98.1792375877558,-125.656887746314
-605.276616784002,267.447105210354,-48.4851445165259,-222.382303032267,34.9398186631151,-1.54828162348713,-1254.33802471812,-84.4460628321394
-432.176803512175,157.846530850715,-25.6308766433285,-253.798110944997,8.09900706793997,8.31825828162255,-91.628210539875,-86.6187135272921
31.5590634285545,188.254389859407,-61.4263341187179,-208.86880484398,3.08713319840535,6.19048919198378,-967.899184535625,-111.553298647872
