(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
-201.904135481862,-27224.2544720257,-158.108878902014,-34852.3448592644,-92.3617966030579,-77.4552955749605,-128.033175866585
-242.956812276097,-22025.7991597077,-128.810827192559,-36007.9944942471,-68.7964717709256,53.3949914671102,-54.4911736710346
253.234246853634,-23237.3871584702,-271.514225774285,-34652.505761724,-210.581530698809,-165.430903871733,-215.645154188882
-341.638623731284,-24176.2194035783,-269.88444763681,-35755.264714541,-201.320349031428,-215.776688237514,-180.39430700166
58.7727741307026,-25232.6701722184,-153.798070990983,-36359.0172625609,-224.962861656459,-265.87225176864,-228.274994342577
-718.438800695665,-25690.6394175757,-88.3517580636981,-35248.914312016,-71.3945616192796,-30.3302237783209,-76.2861866763269
-238.708558887796,-24754.4027548072,79.9802528112195,-33808.7970970045,-58.5554895423629,-154.240776035615,-85.2587187458266
-564.473273992146,-26542.2935259508,-142.209663621217,-34866.0922627481,-221.949078086793,-164.453487129293,-212.123623836109
50.2258923791305,-23754.0914823065,-297.081054980346,-32739.4607745915,-270.702625091333,-297.191003291349,-173.067114773075
-7.32285910099017,-26194.8555114088,-158.319219349665,-33408.004013086,-93.0755120442918,-103.530416774734,-79.0228757562145
-780.839754976143,-27000.7258026446,114.487349780291,-35641.5249832946,-14.5380022225872,-8.27982818560122,-40.0683137014275
-380.702942441078,-27075.8115580633,-236.956870733102,-35347.520323467,-243.167123090665,-134.768883833232,-158.44508822446
-140.149396348745,-26276.6478485021,-177.890306808724,-38656.6883364606,-317.571892263597,-389.906091020966,-253.449015739825
-633.301963217396,-24360.3029447926,65.6322472187458,-40526.1304439541,-7.61326235537126,-132.463183715889,-66.2942225184524
27.0544859580405,-23398.1865108118,33.0040953522403,-41366.4700051511,49.3791025119353,-5.09596318522017,25.7104144629848
-106.267229929192,-21253.4156182313,-97.8779302353796,-42783.0327449493,-126.916396038534,-179.522821973656,-172.038949383656
139.77050318908,-21624.0854096232,-175.17410544736,-44007.1559526403,-233.778768836433,-361.423112777279,-205.400565888442
487.674629448127,-21167.6850458259,-204.221071292865,-44827.9297928977,-255.277258213704,-317.232204824366,-163.775549039128
-89.1230867418635,-21855.4993159727,-159.927638327052,-46082.751030311,-151.659010156458,-236.849796513387,-142.830598247194
-196.232174183679,-19943.616446119,-71.7136999384675,-45312.9198617916,-100.262749135629,-113.200063154316,-107.11192676218
16.9291339096289,-18454.4212859705,-133.243340484165,-45592.4279267921,-98.2989858094334,-108.718171205954,-129.735511578147
230.273144841107,-17644.4318420753,-238.346594395764,-46305.9408928893,-251.384425339638,-235.216263032175,-232.744812527308
-560.413310248041,-17736.8515853621,-246.019718183947,-46950.0163785187,-218.303959157376,-268.015870109358,-211.462372296082
87.3382775045047,-18530.5631397422,-304.081660225056,-45238.5222620966,-329.53991418907,-346.305498194663,-320.056633534645
