(Intercept),RDM1
-425.963061748154,144.598983921634
-263.645439461689,145.439408862643
-330.714725654136,89.0321784470871
-363.503664164746,61.2485766656027
-113.557842544642,104.777020437235
-91.8694879366521,116.380157968557
-465.638956427232,40.5946546105806
41.457181038917,155.624245220657
-208.820454038039,119.461898836744
-150.233481147428,85.1962260763248
-83.4835074005969,107.892292775534
-129.351287007368,91.8537476508063
-62.7243403300236,80.9595945635083
-290.176717141097,97.8463403473052
-120.628187294558,145.917565654647
-5.06918284765561,85.2060061003722
-460.615680247196,108.150113803666
-150.631426476873,94.3350031079863
-361.553277069819,121.788273352635
-205.353311216633,36.0754014636223
-184.04573074365,66.4066295894008
-186.740148292054,80.8754990586895
-598.739559091307,100.889076549887
-233.735950287017,178.770162725035
-200.671374642201,145.997412413679
-145.84808259405,113.644517573324
-116.759227093455,137.541539043945
-177.293397100475,105.754439654214
-114.392068841251,102.804645093718
-288.222735369971,62.7613300147932
-142.410393714512,-6.72331442790164
-150.307844751849,72.8206917280377
-68.9175683469002,92.3806872567802
-324.195285128677,139.395813514959
-181.978874046785,148.442882727628
-265.30929948829,124.917518631599
140.25498678381,31.7756364230281
-244.279253581219,95.5673593745014
-505.199689792898,113.26937657431
-383.510402555286,194.042164594121
-454.792270390084,181.854165269557
-348.43446449568,91.6833716823312
-103.505220474508,69.007883574046
-61.7694088337594,75.8684770923974
132.907891617273,55.5940733669559
-215.828197646246,58.827166537696
-49.5371157314512,86.866647919378
-159.860477458235,74.8570308963099
-115.871635270596,136.056149107528
-77.2417145022628,132.11192118864
-127.336055770669,34.0053992905014
-41.9402550170489,80.5836498843746
-133.155578298079,78.7401648234518
-101.758300564456,17.7113167993084
-273.082533647896,142.835397265721
-209.181346146972,93.85668815799
-304.502897012804,120.17019149071
40.9418354311638,107.318967347339
-93.2159170480445,140.014666747422
-501.335952870642,146.129043601113
-243.748986933566,180.725684294157
7.57121707825718,113.65568213426
-499.851365415787,80.9605995806123
-226.57554816638,56.6684348089548
-76.2326563383649,87.4470946029978
-346.412311197488,133.092733052596
-146.453146459738,90.3085456682056
-155.277674353332,153.967378233581
