(Intercept),FAM,MAM
-288.841787266152,-93.2887892807194,103.137903108714
-180.784180181626,-52.8157247548224,81.3116306652155
-221.617605143707,-74.7529753907183,123.52749004215
-235.452406680051,58.5617390174593,-8.2116897610249
38.4803796558408,0.0451319788116962,71.9760300638573
-179.618624261493,2.84257342660567,50.0568802724592
-211.193101212761,22.9228518109012,37.1209164038301
-275.135657959196,-31.3447642997198,90.0041962753749
-312.066200510184,92.3064341325335,-8.3320564476162
-146.685689709397,-17.8881409352034,84.4835247989977
-408.107653354605,79.6401413378553,-44.9951209011524
-85.8516452401236,-124.7400604172,130.065645006602
-162.539968131212,27.6511363609461,64.6966580392909
-139.441410464249,-221.109493056385,223.892150002164
-525.483877795571,-61.2350968136307,109.046671545773
-239.545352965412,-56.5644551384903,111.490156536371
-472.778026426131,-24.3784058668971,42.7942427009002
-331.09698553753,-47.2944516364951,110.096072037792
-536.221515274694,-46.9361493274773,111.070191072809
-4.13037993788021,-28.7224355983635,67.2729569503208
-410.411754440342,75.0662294811045,-59.9076202839424
-295.53260695361,48.3943240565422,55.944399201192
-345.135685936621,-8.53743432264309,81.9254569116074
-664.985650113827,31.7969910514075,49.6741083201341
-172.830454229712,-7.26358733679808,63.8571904805431
132.213701035478,37.8190837247093,55.650274685875
-295.18566506861,-14.7842983998707,55.3855809648812
-294.659622857267,13.4968686231587,29.971937681461
-160.839864161215,-18.9924750293867,58.3730180754246
-115.353560230835,-22.240020809113,77.1565992962278
-32.2773770832791,-23.8039164213988,54.793118424248
-96.3809466005478,-20.026954923509,58.2441470479898
15.6348839434213,37.6560716926761,37.1117067089217
-269.508302421824,66.9114619335742,-19.9503345846024
-44.8785866991238,11.4586898218331,16.9849781367229
-180.147756336228,-34.150651932141,57.5638801933092
-95.1758762978716,-12.4258851522573,31.8513747436955
-178.599706632667,11.6330423213731,25.3481240563269
-116.128728550768,-31.2411531443649,41.5395435332175
-179.018121354777,-23.9892878553655,62.517215853848
-276.928315539521,20.6235141054676,21.9152485858285
-243.401866924833,-3.24024896301853,27.1753649287348
-286.481040997547,-16.3356911428782,65.0969526068657
-54.8251213901603,-32.6536964389961,95.9815001794486
-571.178579499232,-21.4519544801296,59.6890352447808
-129.700650693409,-20.535844140788,96.0915436535906
-275.381597459207,-76.9081075690192,122.543668729239
-152.413023821282,53.6516232469803,30.9951800551353
-120.977922724463,-8.10912778599595,37.7231228187884
-48.2249554005775,53.2577627125429,15.1375722620651
-115.876202531957,26.286059518854,36.3337191388637
-75.1497335633594,15.6480051220715,24.1603035961743
-214.066587131805,-13.7081491021963,51.3097201627679
-119.801513155297,-46.3974790674401,57.856188604721
-103.762206467349,-20.9134767710784,64.0590391584847
66.5797050424444,6.69336273403314,14.7518432477373
-127.564712195715,-30.42848136666,53.2102847580391
-178.808192609315,-36.1842304072125,73.6024842317711
-674.89157339761,-19.4147644848927,66.4575297757801
-316.674539236148,32.2922131552768,15.0088879839168
39.2118172025366,-93.2259617358504,136.533119349304
-450.64552572406,-19.4368251818669,73.4859964884527
-283.500655882584,58.7390663845144,-11.2848047184452
-308.190496005016,-13.4617958826202,47.2630178875697
-238.11807781885,-87.0120610001104,128.723376812937
-91.6050497504257,-71.8891222682141,29.1846667313512
-88.9829733959632,36.5745793420756,21.2900750846311
-63.0446279662501,87.6980405293289,-27.573215060876
-372.039722880101,-14.7276185693627,63.9797935064853
-215.449984049734,18.8684595030791,21.9860091295486
-286.864344262402,-19.9973613041147,98.1496018586186
-94.9335834727899,50.8985598463041,-26.8102692397661
-130.880370869752,-19.2883832096413,48.2604272962781
-119.871202499849,5.87984315352514,32.2640685198421
-33.9562292741157,-20.8398478435702,41.7281498633965
-58.8213107848278,-4.5441752357583,26.7903897278011
-78.7265922445222,4.48617732495768,34.6819579115399
-126.800716214449,5.91836344840704,18.2672049728571
-144.19042635167,36.6027917225874,32.8641041268565
69.2928869551033,36.5408920283407,41.5331556293204
-113.070898931615,-17.0587247225994,76.1838189911214
-126.015726248806,42.6315320690483,-9.31100057810545
-361.851131894742,17.6578594749735,6.9776782374247
-282.247712896671,60.4336146774112,-14.1833060878125
-179.812317226373,27.040202059492,13.828126519873
87.661424156584,46.8804281099292,-17.5118158954283
-444.642546063958,-50.2347355792008,92.1917389539594
-70.7045764848249,93.0696245452127,-60.333000089493
-69.4763164145334,5.83200015389593,49.3675884486584
-585.92704522553,-22.269267731248,90.5468276449392
-369.402677053498,-60.3673114035319,70.7886295350909
143.227050738773,-121.537843637037,131.267925606546
-118.934278721266,-6.99681840794983,73.8621713174944
-459.542929156858,-92.2294328106182,138.7138501679
-534.529191316259,-13.8226048051292,71.5403062805299
-475.425100112057,-66.976858484908,100.969565122083
-311.571430161712,-24.6420552703348,73.4467397917581
-216.999379694033,14.8165506184469,71.1501401440055
-286.553148098639,22.8855049195699,50.2014786829095
-532.278763069713,23.1341938647201,58.4158828508371
-571.698955971224,-28.5788200475727,96.1443394503876
-823.525650121468,6.48783979768632,32.8902242080949
-489.051185964112,-61.484332449254,114.165395259886
-440.433492471842,16.3344825523964,58.7301866249181
-265.470428327171,8.67392311502772,73.1947553685186
-290.502090593378,-21.885630561148,73.0001534643379
-578.365728682176,6.86764888590915,67.4010758648474
-130.458093546637,-79.2804740831343,117.933900062868
-315.447289095522,25.0995029207115,14.3291481260676
-139.677179577659,-24.0743680104497,67.7750778284098
-109.916002362603,1.92686137818964,18.1752209812257
-183.099620580142,4.69660890780506,41.5659958172473
-95.6923725890883,-49.4671455197968,120.755010952649
-266.511410471547,26.715821514219,15.1664563421946
-540.976538409406,4.51875195853063,19.5508465228122
-338.8265052282,-31.4198399357265,70.8523832382052
-416.543012765498,-143.475988969338,222.670940729877
-490.374654979314,-12.3353267902385,95.8992114662506
-326.701568584642,-107.428747170845,102.741615160809
160.940492722866,17.5961370327714,41.2818007692549
-464.382635600297,-13.6581579717458,7.2424090077111
-254.605498938479,41.6664604360412,1.39255567739565
-126.049131991604,-15.3169066321861,96.4334046759905
-232.606930157068,-62.6897287374013,119.748451177154
-792.925819297758,93.1101704392058,39.6990813508601
-329.73535228101,-43.5013273211371,93.0912600788834
-155.017279985885,-67.4234040781739,67.8368478211924
-28.2637950381031,-50.3253126618656,88.4869349966175
-142.856942185414,50.107407321244,8.80465243550134
-59.3665203944256,43.2174710476684,7.82289308105828
-806.687102074691,20.91777517015,17.4140845829293
-73.9227045219159,65.4862739226228,43.742162114143
-94.8391942549206,16.717503863103,32.4351223744961
-112.503389735248,101.096380699513,-46.4063223103585
-414.398544571013,-8.01382700849354,45.0017255832026
-155.584281582016,140.022239778773,-70.5016317029076
-5.65743574601947,-44.8429607564176,120.322386810425
-615.008179934201,-27.5464093403061,87.1950593820511
-421.949601914166,-31.8949951650138,70.3177387750495
-20.6313302626368,-53.3821144305839,97.2596568079098
-296.403792199475,44.0758663526258,-9.50227734658756
-268.226468801226,-14.9093700043595,28.653535235484
-317.981700733901,34.0883468263128,31.3309047022485
-24.5242077090106,-47.9647125236515,139.809812484338
-421.220127973254,-13.7529865066099,115.273727926679
-142.548296104891,22.0288688857836,-4.16957765100233
-460.641004641824,-33.4930853285014,70.9344719544497
-613.456023312086,-66.3829004136205,84.554228748716
-460.431093445448,4.31654442716535,84.1375120113862
-339.780861637599,-11.6965568932355,57.090284755468
-130.813095657446,-53.5028044581122,83.4593079159313
-538.975231585351,20.281616797467,6.82083265826259
-84.065539082032,-58.2931962394068,74.6618503593199
-295.511153516563,7.91683484840905,78.9952428867982
-454.868531104141,-16.5194252123747,71.2326428925958
-372.584686304552,-46.3542994088457,115.947556495667
-203.691976304042,-58.4597806452293,81.6989886025112
-317.627035165904,-25.2417922888562,93.0109980410907
-60.0247107811265,4.53008324545226,84.4198443228961
-374.870478078614,-39.2573263494414,52.9411368010769
-384.945106896652,-50.702816380036,61.0625150671694
-88.9136602437211,-11.9449354969547,53.9353589800303
-463.100199839442,-10.3273668679758,35.3288248027093
-173.826742746111,-33.4546367223229,88.1825472424389
-292.960934562463,23.4447155002272,29.6528880081605
-389.037039838004,-97.8800307740148,126.03632416256
-80.6057472626562,-32.9163260229107,119.551008255716
-319.226755812233,60.3521148576401,-23.2439137186448
-293.982939724141,67.5508174458009,-57.3404766358799
-226.181381819973,50.5328308198077,31.2947186050878
-8.99144483188138,-66.6102201739413,108.219629958192
-282.45989762203,-62.1058471117467,104.917848178913
23.1110719893377,-17.7854681729259,65.4124417970743
-430.810368365666,31.279096762335,26.9681571947012
-548.553833946584,27.3355081467525,24.1858533329396
-412.136822160137,33.0215950365236,28.5780576681864
-115.356131427267,-39.7826132283953,43.2164296361152
-438.587615944725,-36.7164960140071,111.929147099588
-439.59621407407,36.3381777673985,-12.3568645173127
-290.355850053951,-10.5250829709184,17.8689381628237
62.2445708113009,22.4778991210915,29.2067380344433
-311.175319127389,14.1738510920859,13.3664203156659
-406.0447893788,59.9196241388381,-21.0088327710255
-393.699168352017,-34.9540997663844,66.9698139728935
29.4808593425405,-45.3198818507481,70.036041675583
-268.195450775907,-14.8604256005929,41.3713250012297
-90.1788756324386,29.4394001927176,-10.4046081725101
-77.1258192519308,19.9446835753042,37.0229234270664
-359.294125709785,35.4464990146371,32.7393065854412
-70.9512230352038,-40.9245416338817,94.5817741393839
-328.438402475877,-41.4450876253832,80.6729201379057
-412.486950801627,-64.1016439730884,94.6555624205066
-255.572348159349,52.95409137143,-9.43048889624333
-326.19148276982,-17.3566902305829,90.9148318806983
-498.503796026489,-21.5156404545414,104.780802810345
-488.720646266753,74.2877627984417,-23.2099370603391
-831.467793436794,32.1811583687113,20.2457726936991
-390.978054976295,-107.457390867319,186.728264322679
