(Intercept),SDT1
-132.110795911416,-81.5518771342868
39.8390206497279,-51.2241359717882
-22.1343413774157,-46.8058176672057
-139.50108618693,-8.85435107842204
-24.3195050494978,-39.0349723099353
-143.124219234317,-37.6991961588355
-138.337788961304,-81.527193302325
-417.140623313971,-20.4379831582482
-159.544779580239,-74.205154870353
10.8628319018608,-73.0996895001772
-14.7256124989144,-77.9406554143607
-302.638581233768,-46.0472072695593
-60.1758583817427,-39.4657358236109
-32.6139822478581,-220.704112825082
45.53648226933,-122.090668133256
-71.507499103524,-75.6272743568843
-158.947476687739,-129.187569160495
-513.360178612464,-103.094426874537
-235.729202434668,-91.4518086394673
-88.5704323231953,-116.911800342565
-199.505801540683,-43.0955928192634
-95.224662025139,-47.4307794088973
65.6929238906014,-60.9703964912187
-88.5326111393663,-39.8151824945962
-160.61428902614,-45.5135087003582
-96.6655724995271,-41.8965002193108
9.60741990283714,-78.2650323301204
-11.4264953079401,-72.9535424177884
-7.74695174030057,-54.6275601731613
-14.932448112173,-28.7483705128834
-32.8440511356748,-27.3468290112505
-138.220936670608,-21.2003360052477
-56.3990176113148,-45.3435621134413
-132.034205530566,-52.6695012162963
-20.3523023715243,-50.7028656808689
-58.6443931125978,-53.5416012217029
-152.760769089451,-45.4873429676518
-60.3271507515747,-24.7921095501515
20.3862951303054,-31.6989741445432
-41.8165925286157,-19.6373180192895
-2.28109092066734,-54.0050010978666
-195.175164815199,-53.5239734015558
-76.3092014620197,-74.0972562330135
-38.2495237802286,-87.8801146139158
-144.91859355598,-105.833475805557
-67.1987760126431,-51.0167495063652
-32.6973659840005,-77.0045780336077
-52.9981732406886,-45.8612301297085
-63.7751213363372,-49.4838893021588
-154.246307478577,-42.7887974213227
-190.496711668049,-46.9463539244898
-51.4994373856171,-62.2266365731048
-222.144271761539,-35.8437644530204
-14.2756369810086,-47.6632066400407
-8.36338050162885,-87.158371112746
-128.57135615213,-104.497090384015
-37.6323959738111,-60.2582537123453
-55.2996885000321,-162.080807116756
-58.6924205578471,-88.0837987804553
-185.451459907446,-53.4872540728829
-27.9205297438239,-166.285441369051
-10.6098855479213,-100.209421873704
21.8687760808098,-101.907647424494
-223.969339070121,-142.656600287824
-120.455358765408,-56.9338655476276
-91.0128826388427,-127.077212445874
-133.933452535642,-136.224104773821
-18.3922038741657,-154.983900827501
-144.695888427536,-101.198345774723
-271.698790378856,-117.021429039858
-335.45566216555,-99.1467537886056
-17.9102155531764,-162.376498252852
-352.914781812604,-149.359474601486
-152.654518044475,-139.295045147432
-434.800374787417,-175.762468049797
64.5948268526863,-114.040881622248
-47.8308745670656,-92.5039612374239
-97.5147935216783,-106.705916769832
-89.3680748314946,-194.128456601306
-71.8276299870777,-95.403358041076
6.39621221991547,-120.058933187174
-222.627753297173,-104.621588553331
-56.3478427901427,-113.852851035481
-9.7036523866218,-86.4049775325329
-100.377848763645,-120.467115567008
172.622341607086,-82.7344901142205
-66.2480524618732,-100.573684301155
-46.0185465617014,-123.235415887844
-88.6080490236345,-100.626080227827
-72.4761090015236,-71.0713944432573
-171.85758489766,-63.9030539410596
-196.874871993976,-143.76808600135
-31.9895470507108,-77.0588700910885
65.1365534875804,-80.1917676056619
-55.5674533186266,-164.552767662215
-31.6073136606137,-234.218289820172
-318.708383497276,-57.5794186912244
-218.814805703369,-43.6875306242
-173.203510015002,-112.271904021381
-46.3428990556858,-54.0946165920614
-463.055734734146,-40.1357775332435
33.7785957533476,-179.647652558444
-99.0411679069366,-74.2468298887106
-89.2840380154807,-70.1036694373761
-60.1822428378582,-111.367062727411
-261.778457341832,-80.4587208021112
-75.9641355401181,-103.667631254619
-103.416849744943,-50.9436809956933
-200.456448477431,-34.5730775115517
-180.127599405983,-72.5782918733057
-249.170377572678,-52.3657455891371
93.0883574530308,-74.4786405502236
-114.781717177466,-133.382907553721
-89.3478427196969,-107.408017731326
-22.1514855684727,-95.1683462945366
-98.3667195646722,-96.4376891549473
-82.6751416282204,-39.5064926831292
-14.0652835783621,-48.5717372863437
-66.997182791536,-52.7569667019707
-292.132060408185,-59.1591649315378
-233.045000666782,-190.684463318335
30.560940781681,-116.087669353066
13.132744775532,-112.260383355795
72.8103136377904,-131.168080074407
-300.163266597403,-54.4048750657385
-46.1548332475068,-110.351280305658
-106.786036167119,-98.1504903238383
77.2369647673186,-97.245686546521
-216.495266505815,-45.6348306209693
70.0189320433419,-71.7435933992965
-38.6270654651162,-29.0704695741006
-292.814517240251,-56.7952208975148
-181.733266098636,-90.5503871606325
-256.190057960426,-73.3224637298626
1.32176510868157,-118.604942615319
53.523057807397,-102.709991081269
-229.273855507578,-71.3522492552001
4.4724404710505,-60.6431936246954
-12.0366450027068,-96.1511772650992
10.973318446413,-15.0742375649279
-376.461992834205,-67.6483590659882
-239.061365936912,-63.6904900549814
-188.860021287189,-19.0374664127594
-270.775525786616,-50.4576926505397
-118.683064209879,-43.7307247088756
-203.283294722729,-104.7290518399
-76.8321382142603,-121.819401574321
19.3386317195618,-114.348735178763
-308.67272684713,-99.9980411343568
-108.751610592347,-138.155318263045
-68.663587090341,-73.7675548831903
-119.692027356999,-105.331827950358
-86.1239595144962,-133.090260480305
-40.545971518819,-80.4446600257434
-165.262680697257,-111.059128083682
-179.150800553965,-138.071982373118
208.979291741998,-117.363494820209
79.6051054687705,-135.57561880273
-237.817378479223,-78.3541246988025
-248.512742332416,-142.317653050923
76.3721691206592,-99.8457744813823
-149.80105484536,-46.0382401616953
-280.299732725514,-61.0518348842743
-55.2081224310969,-66.1398120323065
-40.4158131704935,-63.1939775547071
-175.320432170556,-57.6262848996412
-99.4450410323188,-62.8061962508364
-25.4550489127578,-51.7400425738433
-48.303862432007,-33.6970206408587
-69.7722177773976,-52.1443378021722
-98.2951563735623,-70.0775183398946
-157.23419350505,-30.7802264888815
-373.464090793306,-7.25278868414171
-195.474038251778,-101.865727426615
-328.497209968831,-14.0030689069681
-199.360191320273,-26.6003939584989
-129.151723018302,-88.9068526985502
-41.7869514893246,-95.9704200724664
-228.318841813134,-12.0833617819098
-142.506294936145,-112.445781220435
-123.770098487534,-42.3763096038238
-7.03019850730198,-58.5684329281867
-71.8819553721114,-18.9953053367353
-62.8979123576064,-30.7213614774264
-63.6461973527184,-37.983230747981
53.8489415348013,-103.321020802687
8.28199568253331,-80.6578382934094
-146.00356713658,-72.8572745787678
-77.9329043244798,-45.1696604716276
-177.769400699544,-27.8453185729013
-147.354438953669,-46.4506957836857
-104.675421055523,-29.1542117049485
-49.2369533711171,-29.3092093117011
-202.87167818236,-91.206248276525
-206.589465893074,-80.4957850919745
-34.5747045541211,-53.9582662880421
-55.4885816604146,-72.8584098425472
-74.9580900357978,-77.5473261863881
85.659730574931,-30.5856557687803
-119.40232656122,-57.6610252414102
-11.1115535667923,-54.8008513353416
-94.091225050186,-32.3684066883288
-35.7747842500685,-21.1499484192136
-29.6286218681198,-21.5885658313896
27.7010460015226,-27.295021582162
-55.8357248650427,-16.7299904255815
-10.1529454724223,-20.103451239891
-27.6145262194877,-9.3559629850497
-72.9602328102919,-11.1972955233359
11.0941964334052,2.07390585125177
-62.5305768190301,-2.25990831345553
-53.702785319234,-25.4949627961869
25.384079481053,-22.7788087420595
-73.4196206047345,-14.2819895317662
74.7070631892166,-14.4049703420728
8.29446953696606,-20.132219460178
-73.3796455790725,-16.6611966055789
6.69463012305391,-48.0881824452917
-75.9227574813081,-32.5894117601856
-14.7072890830095,-84.0054879946983
-50.5071362318704,-46.9142441220465
-156.581332955301,-54.2861519965372
10.0491175468342,-53.3280565695313
6.12427702022978,-53.8873631222014
-103.543422760551,-32.3887785743786
42.5443343134393,-46.1641389309589
-95.1369178936293,-80.3397285508504
-44.8707051796573,-79.6470025394228
-123.362761321667,-75.5649976827044
-85.2263174700493,-99.1901377834583
109.725836174941,-75.0547912896582
70.1473606710133,-39.9135689887007
-77.6322899087027,-107.426354624287
-37.0769911497555,-87.5671554342553
71.9211981772387,-42.8799479260088
-107.467873431015,-87.797800053726
-149.603540849901,-120.526571362832
-79.3553014648642,-93.3014810540772
-240.068055812008,-104.602609565554
-108.518177673811,-162.597579518264
-155.425661485788,-175.17241351647
-52.5996572963222,-54.948809391848
-153.799825169608,-178.06917457009
-92.3042070256124,-124.111873990114
-1.01230115217913,-31.5141478754449
-303.577987536308,-182.376075412467
-6.42028680853036,-121.455179434153
-360.788232970081,-88.1964096026786
-448.678704414691,-146.848852648909
-181.629412452181,-54.3797704305252
-48.0713191147988,-86.5837539432832
-145.676933378374,-96.9627570203738
49.1429003215744,-75.5894101149279
-165.218172310968,-88.1901468927463
-54.4986719079097,-94.5459133330733
-282.318818719068,-85.5452929902822
-200.665487647377,-123.798677487568
-348.396380031903,-147.921072326237
48.0578420402599,-87.1386619976838
79.0246313671305,-90.8978252030356
-245.071800507241,-30.9300616815453
-282.759658086783,-85.8774344149715
-60.7833984617682,-101.111039446452
4.07765612343792,-60.772439869419
-84.2405219158973,-8.54684258892667
-15.3870285782614,-131.01815407279
-5.29226977276994,-44.9186669881237
-147.391981465451,-126.326477379815
-33.6756033911988,-145.47107649417
