Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Phocoenoides_dalli,Cetartiodactyla,Phocoenidae,Phocoenoides,dalli,,Y,0,0,0,,,,
Inia_geoffrensis,Cetartiodactyla,Iniidae,Inia,geoffrensis,,Y,0,1,1,,,,
Lipotes_vexillifer,Cetartiodactyla,Iniidae,Lipotes,vexillifer,,Y,0,0,0,,,,
Pontoporia_blainvillei,Cetartiodactyla,Iniidae,Pontoporia,blainvillei,,,,,,,,,
Kogia_breviceps,Cetartiodactyla,Physeteridae,Kogia,breviceps,,Y,0,0,0,,,,
Kogia_sima,Cetartiodactyla,Physeteridae,Kogia,sima,,,,,,,,,
Physeter_macrocephalus,Cetartiodactyla,Physeteridae,Physeter,macrocephalus,,Y,0,1,1,,,,
Platanista_gangetica,Cetartiodactyla,Platanistidae,Platanista,gangetica,,,,,,,,,
Berardius_arnuxii,Cetartiodactyla,Ziphiidae,Berardius,arnuxii,,,,,,,,,
Berardius_bairdii,Cetartiodactyla,Ziphiidae,Berardius,bairdii,,,,,,,,,
Hyperoodon_ampullatus,Cetartiodactyla,Ziphiidae,Hyperoodon,ampullatus,,,,,,,,,
Hyperoodon_planifrons,Cetartiodactyla,Ziphiidae,Hyperoodon,planifrons,,,,,,,,,
Indopacetus_pacificus,Cetartiodactyla,Ziphiidae,Indopacetus,pacificus,,,,,,,,,
Mesoplodon_bidens,Cetartiodactyla,Ziphiidae,Mesoplodon,bidens,,,,,,,,,
Mesoplodon_bowdoini,Cetartiodactyla,Ziphiidae,Mesoplodon,bowdoini,,,,,,,,,
Mesoplodon_carlhubbsi,Cetartiodactyla,Ziphiidae,Mesoplodon,carlhubbsi,,,,,,,,,
Mesoplodon_densirostris,Cetartiodactyla,Ziphiidae,Mesoplodon,densirostris,,Y,0,0,0,,,,
Mesoplodon_europaeus,Cetartiodactyla,Ziphiidae,Mesoplodon,europaeus,,,,,,,,,
Mesoplodon_ginkgodens,Cetartiodactyla,Ziphiidae,Mesoplodon,ginkgodens,,,,,,,,,
Mesoplodon_grayi,Cetartiodactyla,Ziphiidae,Mesoplodon,grayi,,Y,0,0,0,,,,
Mesoplodon_hectori,Cetartiodactyla,Ziphiidae,Mesoplodon,hectori,,Y,0,0,0,,,,
Mesoplodon_layardii,Cetartiodactyla,Ziphiidae,Mesoplodon,layardii,,Y,0,0,0,,,,
Mesoplodon_mirus,Cetartiodactyla,Ziphiidae,Mesoplodon,mirus,,,,,,,,,
Mesoplodon_perrini,Cetartiodactyla,Ziphiidae,Mesoplodon,perrini,,,,,,,,,
Mesoplodon_peruvianus,Cetartiodactyla,Ziphiidae,Mesoplodon,peruvianus,,,,,,,,,
Mesoplodon_stejnegeri,Cetartiodactyla,Ziphiidae,Mesoplodon,stejnegeri,,,,,,,,,
Mesoplodon_traversii,Cetartiodactyla,Ziphiidae,Mesoplodon,traversii,,,,,,,,,
Tasmacetus_shepherdi,Cetartiodactyla,Ziphiidae,Tasmacetus,shepherdi,,,,,,,,,
Ziphius_cavirostris,Cetartiodactyla,Ziphiidae,Ziphius,cavirostris,,Y,0,0,0,,,,
Eschrichtius_robustus,Cetartiodactyla,Eschrichtiidae,Eschrichtius,robustus,,,,,,,,,
