Species,Common_Name,GP,BM,AFM,MR,RDM,TSP,PC,FWA,FAM,MAM,NB,SDT,GL,SPI,NAC,GIM,GFE,MMC,BG,MGS,DHE,DCA,DPMI,DIN,DFR,DGR,DCE,DMOC,IUCN,SOG,Modifiers,FSSB,MSSB,SSB,Column Name Key,Mating Group Structures Key
Callithrix_jacchus,Common Marmoset,4.8,0.02774,0.3220,0.08614906832,N,N,2.3,2.0,14.5,11.5,Y,N,Y,Y,Y,Y,N,Y,N,MMG,N,N,N,Y,Y,Y,N,Y,LC,,,0,1,1,,
Callorhinus_ursinus,Northern Fur Seal,8.5,5.3548,50.0000,0.107096,Y,Y,1.0,3.6,48.7,48.0,N,N,N,N,N,Y,N,Y,Y,MBG,N,N,Y,N,N,N,N,N,VU,N,"MA, AS.",1,1,1,,
Canis_latrans,Coyote,2.1,0.257,11.1000,0.02315315315,N,N,5.7,1.6,10.4,9.1,N,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,Y,N,Y,N,LC,,SS,0,0,0,,
Canis_mesomelas,Black-backed Jackal,2.1,0.1772,8.0000,0.02215,N,N,3.9,2.1,10.3,8.4,N,Y,N,Y,Y,N,N,N,N,MOP,N,Y,N,N,N,N,Y,N,LC,N,,0,0,0,,
Canis_simensis,Ethiopian Wolf,2.1,0.2,12.7000,0.0157480315,N,N,4.0,2.3,24.8,24.8,N,Y,Y,Y,Y,Y,N,Y,N,MMG,N,Y,N,N,N,N,N,N,EN,,SS,0,0,0,,
Capra_aegagrus,Wild Goat,5.1,2.9,40.0000,0.0725,Y,N,1.6,,30.0,24.0,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,NT,,,0,1,1,,
Capra_ibex,Alpine Ibex,5.7,2.78,45.0000,0.06177777778,Y,Y,1.1,6.0,18.0,18.0,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,LC,,,0,1,1,,
Capra_pyrenaica,Iberian Ibex,6.0,,36.0000,,Y,N,1.5,,30.0,,N,N,Y,N,N,Y,Y,Y,Y,VGS,Y,N,N,N,N,N,N,N,LC,,,0,1,1,,
Capreolus_capreolus,European Roe,5.0,1.6,23.0000,0.06956521739,Y,N,1.8,2.8,13.8,13.8,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,Y,Y,N,N,LC,Y,"DI, OG",0,1,1,,
Caracal_caracal,Caracal,2.4,0.225,11.0000,0.02045454545,N,N,2.7,4.0,13.5,13.5,Y,N,N,N,N,N,N,N,N,SO,N,Y,N,N,N,N,N,N,LC,N,,0,0,0,,
Carollia_perspicillata,Seba's Short-tailed Bat,3.5,0.00489,0.0200,0.2445,N,Y,1.0,1.2,8.6,8.6,N,Y,Y,N,N,Y,N,N,Y,HBG,N,N,N,Y,Y,N,N,N,LC,,,0,0,0,,
Castor_canadensis,American Beaver,3.5,0.41517,17.5000,0.023724,N,N,3.6,1.7,21.6,21.3,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,N,,0,0,0,,
Castor_fiber,Eurasian Beaver,3.5,0.55027,17.5000,0.031444,N,N,3.0,2.0,33.1,34.5,N,Y,N,Y,N,N,N,N,N,MOP,Y,N,N,N,N,N,N,N,LC,N,,0,0,0,,
Cavia_aperea,Brazilian Guinea Pig,2.0,0.06,0.6000,0.1,N,N,2.3,0.7,2.0,3.0,Y,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,N,Y,N,N,LC,N,,1,1,1,,
Cebuella_pygmaea,Pygmy Marmoset,4.7,0.0145,0.1100,0.1318181818,N,N,1.9,3.0,16.0,16.0,Y,Y,Y,Y,Y,Y,N,N,N,HAR,N,N,N,Y,N,Y,N,Y,VU,,,0,0,0,,
Cebus_albifrons,White-fronted Capuchin,5.7,0.23192,2.3000,0.1008347826,N,Y,1.0,9.0,46.3,43.7,Y,Y,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,LC,,,0,1,1,,
Sapajus_apella,Tufted Capuchin,5.2,0.21,2.3500,0.08936170213,Y,Y,1.1,13.9,57.6,78.0,N,N,Y,Y,Y,Y,N,N,N,HAR,Y,N,N,Y,Y,Y,N,Y,LC,,,1,1,1,,
