i	lambda0	lambda1	mu0	mu1	q01	q10	p
59	0.0720243678432666	0.168399002140111	0.115702436844297	0.0609243804537158	0.109673302350872	0.240581013375559	-1590.30806793909
60	0.0570515451533439	0.166746658307242	0.0980477172913405	0.0621201141580254	0.121081718192838	0.239128817363671	-1590.88504180349
61	0.056531002456327	0.166007606980518	0.0911748279743521	0.0855535048368633	0.130955736571553	0.208202532345098	-1593.37176824825
62	0.0646421150364886	0.156531307853198	0.101297842680539	0.0780453708098516	0.13171631398926	0.209109835551721	-1593.96987060165
63	0.0712994967219366	0.171628702659876	0.125407359444173	0.0817363137200195	0.0791510896835338	0.146241587765184	-1595.05618459351
64	0.0852472053938492	0.165175767080197	0.111380406230093	0.101575046224305	0.0737048729179613	0.149868906254013	-1592.30285799513
65	0.0821487814984231	0.175061079110985	0.120554806471572	0.0990585648332929	0.0505247658266543	0.124605263284088	-1591.30548909072
66	0.100033177700216	0.172939957640455	0.146020153018416	0.100159274355436	0.0435544568826602	0.121007060532837	-1594.26609922915
67	0.101260022293772	0.176340109082452	0.12445396720255	0.108831503887754	0.0319320917960333	0.106954455896659	-1594.12572069562
68	0.0837098684139011	0.190061311815447	0.119567678319339	0.0982555421578028	0.0340016809910427	0.140968157737433	-1592.64844450016
69	0.0674314112173193	0.206729127910169	0.116182543920543	0.0971153348927293	0.0292147024185368	0.137171760653683	-1593.19193141802
70	0.0710613833422345	0.212930841669485	0.124626572670121	0.10488740899352	0.0359887361320658	0.143274131951867	-1592.59720738375
71	0.0606972791899442	0.214449943844458	0.120132568188152	0.107164953991104	0.0395998560369051	0.166327109792284	-1594.33459996771
72	0.0716286270592808	0.21282586969117	0.133579432624612	0.0766387046242916	0.0330727680751652	0.166948725800259	-1594.14911896151
73	0.07016296505342	0.20214155566684	0.130375932152795	0.0724917860729473	0.0319122248185317	0.172677022293439	-1592.93075777589
74	0.0682906593137036	0.195795222244142	0.114353473806235	0.0718487563793825	0.0584461433483247	0.184054954587711	-1591.23447904125
75	0.0563078791076864	0.193358770673853	0.12218767865183	0.072185156806425	0.0588875627423262	0.176052359240358	-1590.49572677557
76	0.0579290480398109	0.182728677532573	0.129671312688327	0.0626361473116134	0.0620508153005322	0.186486490524304	-1589.73968905855
77	0.0585793906152512	0.174222391809213	0.130450077449563	0.0541452037245745	0.0637049555332315	0.176606280041789	-1590.42723791797
78	0.0944722809958593	0.162541958302599	0.147311678016615	0.0588711012588466	0.0550604388794511	0.176850044025395	-1590.81831801243
79	0.0942269865239058	0.167387980901854	0.144310293323417	0.0516153873145233	0.0587720003314152	0.19432675435951	-1590.32145934186
80	0.0784496779522864	0.174594709737155	0.141590074512025	0.0486150893853146	0.0569830383221198	0.206543645044754	-1589.89795368658
81	0.0773534756588755	0.186782341617464	0.141333774492924	0.0558857549551563	0.0710653633255523	0.224255638372274	-1590.00368592006
82	0.064766644806433	0.200592837136486	0.139545798835236	0.0577271141591153	0.0659301186986137	0.223322229425544	-1590.26808526753
83	0.0610513079028025	0.199916903786028	0.120382557142566	0.0678449320015801	0.0781501709165683	0.214515688911202	-1590.93934799885
84	0.0616837876399889	0.195658770352462	0.124305679424706	0.0735547376851642	0.0893760784105213	0.233175215886301	-1589.8630659088
85	0.0642046915173209	0.193401789113855	0.131290252728075	0.0574421005033812	0.0900592709097565	0.257241614874937	-1589.95233556474
86	0.0677222503346546	0.177026547755091	0.111048226202938	0.0384922467492433	0.0786890868833441	0.241597958063383	-1591.06667496591
87	0.0382249663601342	0.171862853178655	0.105214423055507	0.0288521716994697	0.0740946195030599	0.219555070519204	-1591.45818792947
88	0.0529748268908534	0.143627071776328	0.0917217320852118	0.0180330876857978	0.0689315491065061	0.190726854806559	-1591.49467447775
89	0.0467131516168446	0.143651999956212	0.106215626871786	0.0251025320612062	0.0664718939075052	0.191518118967659	-1590.4678685476
90	0.0636888076393301	0.142884099037621	0.116565343001498	0.0269584220431093	0.0705858415422329	0.195851791295356	-1589.04459756522
91	0.0728736730007948	0.136412681826666	0.0999234965928196	0.0403857068489118	0.0814336985109593	0.20044595915114	-1590.8296151359
92	0.0748971352002462	0.141667926804523	0.0964893910367668	0.0445188510074815	0.0850572485273	0.195865945417783	-1591.5130935946
93	0.0673365404972368	0.140323232743168	0.108754419277127	0.0314742640216006	0.0696625689961951	0.192473224799498	-1589.25275659583
94	0.0634947139447117	0.151884175231891	0.0921045201576158	0.0425090855995683	0.0607963778995912	0.180614974975665	-1589.75382572991
95	0.0565867699460604	0.155945085082414	0.118522817891077	0.0248760230622813	0.0480439858231008	0.176661845363894	-1588.47718171601
96	0.0730167167687303	0.146932385115904	0.150098344924172	0.013805494661186	0.0357917239241462	0.162301845709191	-1588.45646210557
97	0.0675389752768461	0.142473990931517	0.141012684816941	0.00867802278730779	0.0324552644062968	0.170186109312567	-1587.96759933192
98	0.0987404598666836	0.129524358450776	0.14884579248681	0.00115186438809131	0.0321317850737883	0.167958992862365	-1588.48810960036
99	0.0920843088800367	0.138431864945238	0.153602615296387	0.00109957806709205	0.0298237189598101	0.167561492860325	-1587.58743310864
100	0.0792446061437187	0.136130828402025	0.126605477155663	0.000311555967518653	0.0194761832924914	0.157029353048291	-1589.04142251675
