Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Apodemus flavicollis,Yellow-necked Field Mouse,0.8,0.0023,0.0390,N,N,5.2,0.7,1.7,1.7,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Apodemus_flavicollis,0,0,0,Yes,No,No
Apodemus sylvaticus,Long-tailed Field Mouse,0.7,0.0015,0.0220,N,N,4.8,0.6,2.4,2.2,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Apodemus_sylvaticus,0,0,0,Yes,No,No
Arctocephalus australis,South American Fur Seal,8.2,4.44971,45.0000,Y,Y,1.0,16.0,48.0,85.1,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"DI, MA, AS",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Arctocephalus_australis,0,0,0,No,No,Yes
Arctocephalus forsteri,Australasian Fur Seal,8.1,3.7,40.0000,Y,Y,1.0,10.0,48.6,85.2,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,LC,"DI, MA, AS, OG",Multimale-Multifemale," in mating aggregations, generally solitary with minor groupings outside them","Multimale-Multifemale in mating aggregations, generally solitary with minor groupings outside them",Arctocephalus_forsteri,0,0,0,No,No,Yes
Arctocephalus gazella,Antarctic Fur Seal,8.5,5.79463,40.0000,Y,Y,1.0,4.0,36.5,85.2,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,LC,"DI, MA, AS, OG",Multimale-Multifemale with bachelor groups," in mating aggregations, generally solitary with minor groupings outside them","Multimale-Multifemale with bachelor groups in mating aggregations, generally solitary with minor groupings outside them",Arctocephalus_gazella,0,0,0,No,No,Yes
Arctocephalus pusillus,Brown Fur Seal,8.9,5.75,57.0000,Y,Y,1.0,11.0,54.0,126.0,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,LC,"DI, AS, SS",Multimale-Multifemale,,Multimale-Multifemale,Arctocephalus_pusillus,0,0,0,No,No,Yes
Arctocephalus tropicalis,Subantarctic Fur Seal,8.1,4.34741,50.0000,Y,Y,1.0,10.5,60.0,51.3,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,LC,"DI, MA, AS, OG",Harem," in mating aggregations, generally solitary with minor groupings outside them","Harem in mating aggregations, generally solitary with minor groupings outside them",Arctocephalus_tropicalis,0,0,0,No,No,Yes
Ateles belzebuth,White-fronted Spider Monkey,7.5,,7.9000,N,Y,1.0,,48.7,60.9,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN,SS,Multimale-Multifemale,,Multimale-Multifemale,Ateles_belzebuth,0,0,0,No,No,Yes
Ateles geoffroyi,Geoffroy's Spider Monkey,7.6,0.42585,7.7000,N,Y,1.0,25.0,78.0,60.9,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN,,Multimale-Multifemale,,Multimale-Multifemale,Ateles_geoffroyi,0,1,1,No,No,Yes
Ateles paniscus,Red-faced Spider Monkey,7.6,0.47864,8.4000,N,Y,1.0,26.8,55.5,42.7,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,VU,,Multimale-Multifemale,,Multimale-Multifemale,Ateles_paniscus,0,0,0,No,No,Yes
Balaena mysticetus,Bowhead,13.5,900.0000,80000.0000,N,Y,1.0,11.7,213.1,273.7,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Balaena_mysticetus,1,1,1,Yes,No,No
Balaenoptera acutorostrata,Common Minke Whale,10.1,350,2400.0000,N,Y,1.0,4.5,72.0,84.0,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Balaenoptera_acutorostrata,0,0,0,Yes,No,No
