Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Dasypus novemcinctus,Nine-banded Armadillo,4.2,0.09648,4.5000,N,N,4.0,1.4,12.8,12.2,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,LC,DI,Solitary,,Solitary,Dasypus_novemcinctus,0,0,0,Yes,No,No
Dasyurus maculatus,Tiger/ Spotted-tailed Quoll,0.7,*0.00005,1.7000,Y,N,4.5,4.5,12.2,11.3,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,NT,,Solitary,,Solitary,Dasyurus_maculatus,0,0,0,Yes,No,No
Daubentonia madagascariensis,Aye-aye,5.6,0.12179,2.4500,N,Y,1.0,6.6,29.4,30.0,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,EN,"SMG, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Daubentonia_madagascariensis,0,0,0,NA,NA,NA
Delphinus delphis,Short-beaked Common Dolphin,10.9,7.06965,78.0000,N,Y,1.0,12.7,60.0,69.0,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Delphinus_delphis,0,0,0,No,No,Yes
Desmodus rotundus,Common Vampire Bat,7.0,0.00694,0.0350,N,Y,1.0,8.0,9.5,9.5,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Desmodus_rotundus,1,1,1,No,No,Yes
Dicerorhinus sumatrensis,Sumatran Rhinoceros,15.5,22.8495,775.0000,N,Y,1.0,18.0,78.0,78.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,CR,,Solitary,,Solitary,Dicerorhinus_sumatrensis,0,0,0,NA,NA,NA
Diceros bicornis,Black Rhinoceros,15.5,35,1050.0000,N,Y,1.0,23.0,60.9,75.1,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,CR,,Solitary,,Solitary,Diceros_bicornis,0,0,0,Yes,No,No
Dicrostonyx groenlandicus,Nearctic Collared Lemming,0.7,0.0038,0.0830,N,N,3.6,0.6,1.3,2.8,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC,,Solitary,,Solitary,Dicrostonyx_groenlandicus,0,1,1,Yes,No,No
Didelphis marsupialis,Common Opossum,0.5,0.00016,1.1500,N,N,6.6,3.1,6.5,8.0,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC,,Solitary,,Solitary,Didelphis_marsupialis,0,0,0,Yes,No,No
Didelphis virginiana,Virginia Opossum,0.4,0.00015,1.9000,N,N,7.6,3.4,6.1,8.1,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Didelphis_virginiana,0,0,0,Yes,No,No
Dipodomys merriami,Merriam's Kangaroo Rat,1.0,0.00329,0.0400,N,N,2.4,0.7,3.4,,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Dipodomys_merriami,0,0,0,Yes,No,No
Dipodomys spectabilis,Banner-tailed Kangaroo Rat,0.8,0.0075,0.1100,N,N,2.7,0.7,2.0,2.0,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,NT,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Dipodomys_spectabilis,0,0,0,NA,NA,NA
Eira barbara,Tayra,2.2,0.1,4.6000,N,N,2.1,3.1,22.0,18.0,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Eira_barbara,0,0,0,Yes,No,No
Elaphurus davidianus,Pere David's Deer,9.5,11.5,155.0000,Y,Y,1.2,8.0,20.0,,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,EW,,Segregated Sexes,,Segregated Sexes,Elaphurus_davidianus,0,1,1,NA,NA,NA
Elephas maximus,Asian Elephant,22.0,98.5,2720.0000,Y,Y,1.0,18.0,180.0,180.0,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,EN,,Female exclusive groups,,Female exclusive groups,Elephas_maximus,1,1,1,No,No,Yes
Enhydra lutris,Sea Otter,7.6,1.89437,21.5000,N,Y,1.0,6.0,48.0,66.0,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,EN,"AS, DI",Segregated Sexes,,Segregated Sexes,Enhydra_lutris,0,1,1,Yes,No,No
Eptesicus fuscus,Big Brown Bat,1.9,0.00321,0.0190,N,N,1.9,1.2,10.0,10.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,"OG, MC, DI",Solitary, with occasional grouping,Solitary with occasional grouping,Eptesicus_fuscus,0,0,0,No,No,Yes
Eptesicus serotinus,Common Serotine,1.7,0.00528,0.0220,N,Y,1.1,1.6,18.0,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,"OG, MC, DI",Solitary, with occasional grouping,Solitary with occasional grouping,Eptesicus_serotinus,0,1,1,No,No,Yes
Equus hemionus,Onager (Asiatic Wild Ass),11.0,,225.0000,N,Y,1.0,15.2,38.6,39.6,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,NT,,Segregated Sexes,,Segregated Sexes,Equus_hemionus,0,0,0,No,No,Yes
Equus przewalskii,Przewalskii's Horse,11.5,,250.0000,N,Y,1,,24.0,36.0,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,EN,,Harem with bachelor groups,,Harem with bachelor groups,Equus_przewalskii,1,1,1,NA,NA,NA
Equus quagga,Plains Zebra,12.2,32.0000,280.0000,N,Y,1.0,6.0,30.2,30.0,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,NT,,Harem with bachelor groups,,Harem with bachelor groups,Equus_quagga,1,1,1,No,No,Yes
Equus zebra,Mountain Zebra,12.1,29.49668,310.0000,N,Y,1.0,10.1,33.6,42.6,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,VU,,Harem with bachelor groups,,Harem with bachelor groups,Equus_zebra,1,1,1,No,No,Yes
Erignathus barbatus,Bearded Seal,9.5,34.53693,350.0000,N,Y,1.0,0.6,66.0,78.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,DI,Solitary,,Solitary,Erignathus_barbatus,0,0,0,NA,NA,NA
Erinaceus europaeus,West European Hedgehog,1.1,0.01554,0.5410,N,N,4.4,1.2,8.9,8.4,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,NT,,Solitary,,Solitary,Erinaceus_europaeus,0,0,0,Yes,No,No
Erythrocebus patas,Patas Monkey,5.6,0.62167,5.5000,Y,Y,1.0,6.3,36.0,54.0,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,NT,,Harem with bachelor groups,,Harem with bachelor groups,Erythrocebus_patas,1,1,1,No,No,Yes
Eschrichtius robustus,Gray Whale,12.0,800,24500.0000,N,Y,1.0,8.0,108.0,108.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,"MC, SMG",Solitary,,Solitary,Eschrichtius_robustus,1,1,1,Yes,No,No
Eubalaena australis,Southern Right Whale,12.4,*1409.67713,45000.0000,N,Y,1.0,7.5,109.5,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Eubalaena_australis,1,1,1,Yes,No,No
Eubalaena glacialis,North Atlantic Right Whale,12.5,800,55000.0000,N,Y,1.0,11.5,96.0,97.3,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,CR,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Eubalaena_glacialis,1,1,1,Yes,No,No
Eulemur rufus,Red-fronted Lemur,4.0,0.0809,1.6000,Y,Y,1.0,5.1,21.6,18.3,,,Y,,,,,,,,,,,,,,VU,,,,,Eulemur_rufus,0,0,0,No,No,Yes
Eumetopias jubatus,Steller Sea Lion,9.0,20,273.0000,Y,Y,1.0,11.0,54.0,80.7,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,NT,"DI, SS",Multimale-Multifemale,,Multimale-Multifemale,Eumetopias_jubatus,0,0,0,No,No,Yes
Felis silvestris,Wildcat,2.0,0.1064,4.0000,N,N,2.5,3.0,10.3,12.0,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Felis_silvestris,0,1,1,Yes,No,No
Gazella gazella,Mountain Gazelle,5.9,2.12499,23.0000,Y,Y,1.3,3.5,18.0,17.0,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,EN,SS,Harem with bachelor groups,,Harem with bachelor groups,Gazella_gazella,0,0,0,No,No,Yes
Genetta genetta,Common Genet,2.5,0.07775,1.8000,N,N,2.3,4.0,22.0,22.0,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Genetta_genetta,0,0,0,Yes,No,No
Giraffa camelopardalis,Giraffe,15.2,100,815.0000,Y,Y,1.3,12.0,54.0,42.0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,VU,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Giraffa_camelopardalis,1,1,1,No,No,Yes
Glis glis,Fat Dormouse,0.8,0.0015,0.1200,N,N,5.5,0.9,10.8,11.2,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Glis_glis,0,0,0,Yes,No,No
Globicephala macrorhynchus,Short-finned Pilot Whale,15.5,60.0000,1500.0000,Y,Y,1.0,36.0,102.0,177.7,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Globicephala_macrorhynchus,0,0,0,No,No,Yes
Globicephala melas,Long-finned Pilot Whale,12.0,75,1300.0000,Y,Y,1.0,36.0,96.0,146.0,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Globicephala_melas,0,0,0,No,No,Yes
Glossophaga soricina,Pallas's Long-tongued Bat,3.6,0.0026,0.0112,N,Y,1.0,2.0,,,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,LC,AS,Multimale-Multifemale,,Multimale-Multifemale,Glossophaga_soricina,0,0,0,Yes,No,No
Gorilla beringei,Eastern Gorilla,8.5,2.0775,79.0000,Y,Y,1.0,33.6,103.0,120.0,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,CR,SS,Harem,,Harem,Gorilla_beringei,1,1,1,No,No,Yes
Gorilla gorilla,Western Gorilla,8.6,2.09589,65.0000,Y,Y,1.1,54.0,120.0,216.0,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,CR,SS,Harem,,Harem,Gorilla_gorilla,1,1,1,No,No,Yes
Grampus griseus,Risso's Dolphin,13.5,25.0000,450.0000,N,Y,1.0,15.2,108.0,132.0,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Grampus_griseus,0,0,0,No,No,Yes
Gulo gulo,Wolverine,8.0,0.08602,9.0000,N,N,2.8,1.9,25.2,25.9,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,LC,DI,Solitary,,Solitary,Gulo_gulo,0,0,0,Yes,No,No
Halichoerus grypus,Gray Seal,9.7,15.5,145.0000,Y,Y,1.0,0.6,48.0,72.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"DI, MA, AS",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Halichoerus_grypus,1,1,1,No,No,Yes
Helarctos malayanus,Sun bear,3.3,0.32499,50.0000,N,Y,1.1,3.0,33.0,33.0,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,VU,"OG, DI",Solitary, with occasional grouping,Solitary with occasional grouping,Helarctos_malayanus,0,0,0,Yes,No,No
Helogale parvula,Common Dwarf Mongoose,1.8,,0.2920,N,N,2.5,1.4,22.0,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Helogale_parvula,1,1,1,No,Yes,No
Hippopotamus amphibius,Common Hippopotamus,7.8,40.19999,2500.0000,N,Y,1.0,10.9,55.2,42.6,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,VU,,Harem with bachelor groups,,Harem with bachelor groups,Hippopotamus_amphibius,0,0,0,No,No,Yes
Hippotragus equinus,Roan Antelope,9.3,16.4,247.5000,N,Y,1.0,6.1,24.3,27.1,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Segregated Sexes,,Segregated Sexes,Hippotragus_equinus,1,0,1,No,No,Yes
Hippotragus niger,Sable Antelope,8.6,16.4,170.0000,Y,Y,1.0,7.0,25.6,18.0,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Harem with bachelor groups,,Harem with bachelor groups,Hippotragus_niger,0,0,0,No,No,Yes
Hoolock hoolock,Hoolock Gibbon,7.8,,6.1000,Y,Y,1.0,24.0,85.2,85.2,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,EN,,Monogamous,,Monogamous,Hoolock_hoolock,0,0,0,No,Yes,No
Parahyaena brunnea,Brown Hyena,3.2,0.69309,40.0000,N,N,2.3,14.0,33.3,35.0,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,NT,SS,Harem,,Harem,Hyaena_brunnea,0,0,0,No,No,Yes
Hyaena hyaena,Striped Hyena,3.0,0.7,30.0000,N,N,2.4,13.0,28.5,26.7,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,NT,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Hyaena_hyaena,0,0,0,Yes,No,No
Hydrochoerus hydrochaeris,Capybara,4.5,1.5,50.0000,Y,N,3.5,3.7,15.3,15.2,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Hydrochoerus_hydrochaeris,0,0,0,No,No,Yes
Hydrurga leptonyx,Leopard seal,9.3,30,410.0000,N,Y,1.0,0.8,54.0,54.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,LC,,Solitary,,Solitary,Hydrurga_leptonyx,0,0,0,NA,NA,NA
Hylobates lar,Lar Gibbon,6.0,0.383,5.0000,N,Y,1.0,28.0,102.0,102.0,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,EN,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Hylobates_lar,0,1,1,No,Yes,No
Hylobates moloch,Silvery Javan Gibbon,7.6,0.3165,6.2000,N,Y,1.0,20.0,108.0,108.0,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,EN,,Monogamous,,Monogamous,Hylobates_moloch,0,0,0,NA,NA,NA
Indri indri,Indri,4.7,0.3000,7.4000,N,Y,1.0,11.0,96.0,96.0,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,CR,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Indri_indri,0,0,0,NA,NA,NA
Isoodon macrourus,Northern Brown Bandicoot,0.4,0.00017,0.7000,Y,N,3.3,2.0,3.5,6.0,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,LC,,Solitary,,Solitary,Isoodon_macrourus,0,0,0,NA,NA,NA
Isoodon obesulus,Southern Brown Bandicoot,0.5,0.00034,0.9000,N,N,2.8,2.0,4.5,6.0,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,LC,,Solitary,,Solitary,Isoodon_obesulus,0,0,0,Yes,No,No
Kobus ellipsiprymnus,Waterbuck,8.3,13.5,170.0000,N,Y,1.0,7.1,30.0,48.0,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Segregated Sexes,,Segregated Sexes,Kobus_ellipsiprymnus,1,0,1,No,No,Yes
Kogia breviceps,Pygmy Sperm Whale,11.2,53,511.0000,N,Y,1.0,9.0,60.0,45.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Kogia_breviceps,0,0,0,No,No,Yes
Lagenorhynchus albirostris,White-beaked Dolphin,11.2,40.0000,255.0000,N,Y,1.0,18.3,104.4,139.2,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Lagenorhynchus_albirostris,0,0,0,No,No,Yes
Lagenorhynchus obscurus,Dusky Dolphin,13.0,9.6,78.5000,N,Y,1.0,12.2,60.9,60.9,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,MC,Multimale-Multifemale,,Multimale-Multifemale,Lagenorhynchus_obscurus,0,0,0,No,No,Yes
Lagothrix lagotricha,Brown Woolly Monkey,7.5,0.35,6.0000,N,Y,1.0,11.2,72.0,96.0,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,VU,,Multimale-Multifemale,,Multimale-Multifemale,Lagothrix_lagotricha,0,0,0,No,No,Yes
Lama guanicoe,Guanaco,11.7,13,115.0000,N,Y,1.0,7.0,24.0,24.0,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Harem with bachelor groups,,Harem with bachelor groups,Lama_guanicoe,0,0,0,No,No,Yes
Lasionycteris noctivagans,Silver-haired Bat,1.8,0.00192,0.0096,N,N,1.8,1.2,5.1,5.1,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,"OG, MC, DI",Solitary, with occasional grouping,Solitary with occasional grouping,Lasionycteris_noctivagans,0,0,0,No,No,Yes
Lasiurus borealis,Eastern Red Bat,2.8,0.0015,0.0130,N,N,2.3,1.3,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,DI,Solitary,,Solitary,Lasiurus_borealis,0,0,0,Yes,No,No
Lasiurus cinereus,Hoary Bat,1.9,0.00512,0.0280,N,N,2.0,1.2,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,DI,Solitary,,Solitary,Lasiurus_cinereus,0,0,0,Yes,No,No
Lemur catta,Ring-tailed Lemur,4.5,0.0758,2.2000,N,Y,1.2,3.0,18.0,18.0,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Lemur_catta,0,0,0,No,No,Yes
Leontopithecus rosalia,Golden Lion Tamarin,4.3,0.05189,0.7950,N,N,1.9,3.5,23.0,25.5,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,EN,,Monogamous,,Monogamous,Leontopithecus_rosalia,1,1,1,No,Yes,No
Leopardus pardalis,Ocelot,2.7,0.25,9.0000,N,N,1.3,3.5,22.1,20.0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Leopardus_pardalis,0,0,0,Yes,No,No
Leptonychotes weddellii,Weddell Seal,10.5,27.5,500.0000,N,Y,1.0,1.2,51.1,52.9,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"DI, MA, AS",Multimale-Multifemale, in mating aggregations,Multimale-Multifemale in mating aggregations,Leptonychotes_weddellii,0,0,0,No,No,Yes
Lepus americanus,Snowshoe Hare,1.2,0.06784,1.3500,N,N,3.5,0.8,8.6,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,SMG,Solitary,,Solitary,Lepus_americanus,0,0,0,Yes,No,No
Lepus capensis,Cape Hare,1.4,0.11409,2.1000,N,N,1.5,0.9,6.7,,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,"SMG, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Lepus_capensis,0,0,0,Yes,No,No
Lepus europaeus,European Hare,1.4,0.123,4.2500,N,N,3.3,1.0,7.6,6.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,"SMG, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Lepus_europaeus,0,0,0,Yes,No,No
Lepus timidus,Mountain Hare,1.7,0.11349,2.9000,N,N,3.2,0.8,8.9,8.9,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC,SMG,Multimale-Multifemale,,Multimale-Multifemale,Lepus_timidus,0,0,0,Yes,No,No
Lontra canadensis,North American River Otter,2.0,0.13594,7.8500,N,N,2.7,3.0,24.3,24.3,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,LC,DI,Segregated Sexes,,Segregated Sexes,Lontra_canadensis,0,0,0,Yes,No,No
Lophocebus albigena,Gray-cheeked Mangabey,6.2,0.49858,5.6000,N,Y,1.0,8.5,36.0,72.0,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,VU,,Multimale-Multifemale,,Multimale-Multifemale,Lophocebus_albigena,1,0,1,No,No,Yes
Loxodonta africana,African Savanna Elephant,22.0,105,2800.0000,Y,Y,1.0,36.3,141.8,150.0,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,EN,SS,Segregated Sexes,,Segregated Sexes,Loxodonta_africana,1,1,1,No,No,Yes
Lutra lutra,European Otter,2.0,0.13,7.5000,N,N,2.5,3.4,30.0,30.0,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,NT,,Female exclusive groups,,Female exclusive groups,Lutra_lutra,0,0,0,Yes,No,No
Lycaon pictus,African wild dog,2.4,0.325,22.2500,N,N,10.5,2.0,23.5,21.3,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,EN,,Multimale-Multifemale,,Multimale-Multifemale,Lycaon_pictus,0,0,0,No,Yes,No
Lynx canadensis,Canadian Lynx,2.1,0.204,8.6000,N,N,4.5,3.0,17.9,19.1,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Lynx_canadensis,0,0,0,Yes,No,No
Lynx lynx,Eurasian Lynx,2.3,0.289,22.0000,N,N,2.3,2.7,22.0,33.5,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Lynx_lynx,0,0,0,Yes,No,No
Lynx pardinus,Iberian Lynx,2.3,,10.0000,N,N,2.5,,,,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,VU,,Solitary,,Solitary,Lynx_pardinus,0,0,0,Yes,No,No
Lynx rufus,Bobcat,2.0,0.35,7.5000,N,N,2.8,2.3,21.3,24.0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Lynx_rufus,0,0,0,Yes,No,No
Macaca arctoides,Stump-tailed Macaque,5.9,0.495,8.1430,N,Y,1.0,12.0,42.0,48.0,Y,,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,VU,SS,Multimale-Multifemale,,Multimale-Multifemale,Macaca_arctoides,1,1,1,No,No,Yes
Macaca fascicularis,Crab-eating Macaque,5.5,0.33285,3.5880,N,Y,1.0,15.0,42.6,66.0,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Macaca_fascicularis,1,1,1,No,No,Yes
Macaca fuscata,Japanese Macaque,5.8,0.542,10.3480,N,Y,1.2,8.8,60.0,54.0,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Macaca_fuscata,1,1,1,No,No,Yes
Macaca mulatta,Rhesus Monkey,5.5,0.4894,5.3390,N,Y,1.0,9.9,54.0,78.0,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Macaca_mulatta,1,1,1,No,No,Yes
Macaca nemestrina,Southern Pig-tailed Macaque,5.7,0.47725,6.5000,Y,Y,1.0,10.8,36.0,54.0,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,EN,SS,Multimale-Multifemale,,Multimale-Multifemale,Macaca_nemestrina,1,1,1,No,No,Yes
Macaca nigra,Celebes Crested Macaque,5.7,0.45777,6.7000,N,Y,1.0,12.2,56.9,,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,CR,SS,Multimale-Multifemale,,Multimale-Multifemale,Macaca_nigra,1,1,1,No,No,Yes
Macaca radiata,Bonnet Macaque,5.4,0.36752,3.8510,N,Y,1.0,10.0,36.0,36.0,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,VU,,Multimale-Multifemale,,Multimale-Multifemale,Macaca_radiata,1,1,1,No,No,Yes
Macaca silenus,Lion-tailed Macaque,5.8,0.41611,3.5000,N,Y,1.0,9.0,50.8,96.0,Y,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,EN,SH,Multimale-Multifemale,,Multimale-Multifemale,Macaca_silenus,1,1,1,No,No,Yes
Macaca sylvanus,Barbary Macaque,5.5,0.44985,11.9000,N,Y,1.0,7.0,48.6,66.9,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Macaca_sylvanus,1,1,1,No,No,Yes
Macaca tonkeana,Tonkean Macaque,5.7,,9.5000,N,Y,1.0,,54.0,,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,VU,,Multimale-Multifemale,,Multimale-Multifemale,Macaca_tonkeana,1,1,1,No,No,Yes
Notamacropus eugenii,Tammar Wallaby,0.9,0.00044,5.0000,N,Y,1.0,10.5,9.0,24.3,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Macropus_eugenii,0,0,1,No,No,Yes
Macropus fuliginosus,Western Grey Kangaroo,1.0,0.00086,28.0000,Y,Y,1.0,17.5,14.0,20.0,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,LC,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Macropus_fuliginosus,0,1,1,No,No,Yes
Macropus giganteus,Eastern Grey Kangaroo,1.2,0.00084,30.0000,Y,Y,1.0,17.0,18.0,42.0,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,LC,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Macropus_giganteus,1,1,1,No,No,Yes
