SSB,Species,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Males Noted to not Compete Immediately?,Nonseasonal Breeding?,Lifespan (these are weak af),Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation
0,Cercopithecus mitis,5.5,0.402,4.2100,Y,Y,1.0,16.0,61.5,55.8,Y,,20.0,,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,LC
0,Cerdocyon thous,1.9,0.14,6.5000,N,N,3.5,2.7,9.2,9.1,N,Y,11.5,Y,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,LC
0,Cervus canadensis,8.2,14,185.0000,Y,Y,1.0,7.5,22.0,16.0,Y,N,17.5max,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC
1,Cervus elaphus,7.8,8.75,97.5000,Y,Y,1.1,7.5,16.0,16.0,Y,N,17.5,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,LC
1,Cervus nippon,7.5,5,55.0000,Y,Y,1.0,6.0,17.3,16.7,Y,N,15.5,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Cheirogaleus medius,2.1,0.01465,0.1350,N,N,2.0,2.0,15.0,15.0,N,N,18maxcap,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,VU
1,Chlorocebus aethiops,6.0,0.3259,3.2000,N,Y,1.0,7.3,44.0,60.8,,,30max,,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC
1,Cercopithecus/chlorocebus pygerythrus?,6.0,0.3259,3.2000,N,Y,1.0,7.1,60.0,60.8,,,30.3,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC
0,Colobus guereza,5.2,0.44492,7.8970,N,Y,1.0,12.9,48.0,60.0,Y,Y,30maxcap,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,LC
0,Connochaetes taurinus,8.3,18.04436,190.0000,Y,Y,1.0,8.2,17.2,30.4,Y,N,22.9,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Cricetus cricetus,0.6,0.0053,0.3730,N,N,8.4,0.9,2.9,1.9,N,N,1.1,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,CR
0,Crocidura russula,1.0,0.0008,0.0095,N,N,4.0,0.5,1.9,2.8,,N,1.5,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,LC
1,Crocuta crocuta,3.7,1,50.0000,N,N,1.9,13.5,32.0,24.0,Y,Y,41.1,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,LC
1,Cuon alpinus,2.1,0.275,11.5000,N,N,4.3,1.7,24.0,24.0,Y,N,16.0,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,EN
0,Cynomys ludovicianus,1.1,0.01524,0.8190,N,N,4.4,1.5,26.6,24.3,N,N,15.0,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Cynopterus sphinx,4.0,0.01225,0.0490,N,Y,1.0,1.8,7.5,17.5,N,N,10.0,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,LC
0,Cystophora cristata,11.2,20.5,200.0000,Y,Y,1.0,0.1,36.5,60.0,Y,N,35.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU
1,Dama dama,7.7,4.5,42.0000,Y,Y,1.0,8.5,16.0,16.0,Y,N,15.5,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Damaliscus lunatus,7.9,11,147.0000,N,Y,1.0,,21.3,41.0,Y,N,23.6,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Dasypus novemcinctus,4.2,0.09648,4.5000,N,N,4.0,1.4,12.8,12.2,N,N,18.7,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,LC
0,Dasyurus maculatus,0.7,0.00005,1.7000,Y,N,4.5,4.5,12.2,11.3,N,N,5.0,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,NT
0,Daubentonia madagascariensis,5.6,0.12179,2.4500,N,Y,1.0,6.6,29.4,30.0,Y,Y,24maxcap,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,EN
0,Delphinus delphis,10.9,7.06965,78.0000,N,Y,1.0,12.7,60.0,69.0,N,N,30.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
1,Desmodus rotundus,7.0,0.00694,0.0350,N,Y,1.0,7.6,9.5,9.5,N,Y,29.1,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,LC
0,Dicerorhinus sumatrensis,15.5,22.8495,775.0000,N,Y,1.0,18.0,78.0,78.0,Y,Y,32.7,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,CR
0,Diceros bicornis,15.5,35,1050.0000,N,Y,1.0,23.0,60.9,75.1,Y,Y,46.4,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,CR
1,Dicrostonyx groenlandicus,0.7,0.0038,0.0830,N,N,3.6,0.6,1.3,2.8,N,N,3.3max,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC
0,Didelphis marsupialis,0.5,0.00016,1.1500,N,N,6.6,3.1,6.5,8.0,N,Y,4.0,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Didelphis virginiana,0.4,0.00015,1.9000,N,N,7.6,3.4,6.1,8.1,N,N,4.2,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC
0,Dipodomys merriami,1.0,0.00329,0.0400,N,N,2.4,0.7,3.4,,N,N,9.7,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Dipodomys spectabilis,0.8,0.0075,0.1100,N,N,2.7,0.7,2.0,2.0,N,N,12.6,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,NT
0,Eira barbara,2.2,0.1,4.6000,N,N,2.1,3.1,22.0,18.0,N,Y,18.0,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,LC
1,Elaphurus davidianus,9.5,11.5,155.0000,Y,Y,1.2,8.0,20.0,39.5,Y,N,18max,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,EW
1,Elephas maximus,22.0,98.5,2720.0000,Y,Y,1.0,13.0,180.0,180.0,Y,Y,73.5,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,EN
1,Enhydra lutris,7.6,1.89437,21.5000,N,Y,1.0,6.0,48.0,66.0,Y,Y,19.0,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,EN
0,Eptesicus fuscus,1.9,0.00321,0.0190,N,N,1.9,1.2,10.0,10.0,N,N,19.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
1,Eptesicus serotinus,1.7,0.00528,0.0220,N,Y,1.1,1.6,18.0,,N,N,"12.5, 19.5max",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Equus hemionus,11.0,,225.0000,N,Y,1.0,15.2,38.6,39.6,Y,N,28.9,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,NT
1,Equus przewalskii,11.5,,250.0000,N,Y,1,,24.0,36.0,Y,N,,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,EN
1,Equus quagga,12.2,32.0000,280.0000,N,Y,1.0,6.0,30.2,30.0,Y,Y,20.6,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,NT
1,Equus zebra,12.1,29.49668,310.0000,N,Y,1.0,10.1,33.6,42.6,Y,Y,26.8,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,VU
0,Erignathus barbatus,9.5,34.53693,350.0000,N,Y,1.0,0.6,66.0,78.0,N,N,22.5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
0,Erinaceus europaeus,1.1,0.01554,0.5410,N,N,4.4,1.2,8.9,8.4,N,N,8maxwild,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,NT
1,Erythrocebus patas,5.6,0.62167,5.5000,Y,Y,1.0,6.3,36.0,54.0,N,N,23.9,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,NT
1,Eschrichtius robustus,12.0,800,24500.0000,N,Y,1.0,8.0,108.0,108.0,N,N,77.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
1,Eubalaena australis,12.4,1409.67713,45000.0000,N,Y,1.0,7.5,109.5,,N,N,70.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
1,Eubalaena glacialis,12.5,800,55000.0000,N,Y,1.0,11.5,96.0,97.3,N,N,67.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,CR
0,Eulemur rufus (might mean rufifrons)?,4.0,0.0809,1.6000,Y,Y,1.0,5.1,21.6,18.3,,,32.8,,Y,,,,,,,,,,,,,,VU
0,Eumetopias jubatus,9.0,20,273.0000,Y,Y,1.0,11.0,54.0,80.7,Y,N,30max,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,NT
1,Felis silvestris,2.0,0.1064,4.0000,N,N,2.5,3.0,10.3,12.0,Y,Y,18.0,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC
0,Gazella gazella,5.9,2.12499,23.0000,Y,Y,1.3,3.5,12.0,17.0,Y,N,19.5,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,EN
0,Genetta genetta,2.5,0.07775,1.8000,N,N,2.3,4.0,22.0,22.0,N,N,21.6,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,LC
1,Giraffa camelopardalis,15.2,100,815.0000,Y,Y,1.3,12.0,54.0,42.0,Y,Y,36.3,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,VU
0,Glis glis,0.8,0.0015,0.1200,N,N,5.5,0.9,10.8,11.2,N,N,4.0,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,LC
0,Globicephala macrorhynchus,15.5,60.0000,1500.0000,Y,Y,1.0,36.0,102.0,177.7,N,Y,63.0,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Globicephala melas,12.0,75,1300.0000,Y,Y,1.0,36.0,96.0,146.0,N,Y,60.0,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Glossophaga soricina,3.6,,0.0112,N,Y,1.0,2.0,,,,N,10.5,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,LC
1,Gorilla beringei,8.5,2.0775,79.0000,Y,Y,1.0,33.6,103.0,120.0,Y,Y,50.5,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,CR
1,Gorilla gorilla,8.6,2.09589,65.0000,Y,Y,1.1,54.0,120.0,216.0,Y,Y,40max,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,CR
0,Grampus griseus,13.5,25.0000,450.0000,N,Y,1.0,15.2,108.0,132.0,N,Y,35max,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Gulo gulo,8.0,0.08602,9.0000,N,N,2.8,1.9,25.2,25.9,N,N,18.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,LC
1,Halichoerus grypus,9.7,15.5,145.0000,Y,Y,1.0,0.6,48.0,72.0,Y,N,44.5,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Helarctos malayanus,3.3,0.32499,50.0000,N,Y,1.1,3.0,79.1,,N,Y,31.0,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,VU
1,Helogale undulata (sbsp of parvula)?,1.8,,0.2920,N,N,2.5,1.4,22.0,,N,Y,14maxwild,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,LC
0,Hippopotamus amphibius,7.8,40.19999,2500.0000,N,Y,1.0,10.9,55.2,42.6,Y,Y,54.5,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,VU
1,Hippotragus equinus,9.3,16.4,247.5000,N,Y,1.0,6.1,24.3,27.1,Y,Y,25.8,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
0,Hippotragus niger,8.6,16.4,170.0000,Y,Y,1.0,7.0,25.6,18.0,Y,Y,22.2,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Hoolock hoolock,7.8,,6.1000,Y,Y,1.0,24.0,85.2,85.2,N,N,30.4,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,EN
0,Parahyaena brunnea,3.2,0.69309,40.0000,N,N,2.3,14.0,33.3,35.0,N,Y,23.0,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,NT
0,Hyaena hyaena,3.0,0.7,30.0000,N,N,2.4,13.0,28.5,26.7,N,Y,24.0,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,NT
0,Hydrochoerus hydrochaeris,4.5,1.5,50.0000,Y,N,3.5,3.7,15.3,15.2,Y,Y,12.0,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,LC
0,Hydrurga leptonyx,9.3,30,410.0000,N,Y,1.0,0.8,54.0,54.0,N,N,26.0,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,LC
1,Hylobates lar,6.0,0.383,5.0000,N,Y,1.0,28.0,102.0,102.0,N,Y,40max,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,EN
