Species,Female_Homosexuality,Male_Homosexuality,Typically single progeny?,Progeny Count
Isoodon obesulus,0,0,N,2.3
Kobus ellipsiprymnus,1,0,Y,1.0
Kogia breviceps,0,0,Y,1.0
Lagenorhynchus albirostris,0,0,Y,1.0
Lagenorhynchus obscurus,0,0,Y,1.0
Lagothrix lagotricha,0,0,Y,1.0
Lama glama,0,0,Y,1.0
Lama guanicoe,0,0,Y,1.0
Lasionycteris noctivagans,0,0,N,1.8
Lasiurus borealis,0,0,N,3.1
Lasiurus cinereus,0,0,N,2.0
Lemur catta,0,0,Y,1.2
Leontopithecus rosalia,1,1,N,1.9
Leopardus pardalis,0,0,N,1.7
Leptonychotes weddellii,0,0,Y,1.0
Lepus americanus,0,0,N,3.5
Lepus capensis,0,0,N,2.4
Lepus europaeus,0,0,N,2.2
Lepus timidus,0,0,N,3.2
Lontra canadensis,0,0,N,2.7
Lophocebus albigena,1,0,Y,1.0
Loxodonta africana,1,1,Y,1.0
Lutra lutra,0,0,N,2.0
Lycaon pictus,0,0,N,7.8
Lynx canadensis,0,0,N,2.9
Lynx lynx,0,0,N,2.3
Lynx pardinus,0,0,N,2.5
Lynx rufus,0,0,N,2.8
Macaca arctoides,1,1,Y,1.0
Macaca fascicularis,1,1,Y,1.0
Macaca fuscata,1,1,Y,1.2
Macaca mulatta,1,1,Y,1.0
Macaca nemestrina,1,1,Y,1.0
Macaca nigra,1,1,Y,1.0
Macaca radiata,1,1,Y,1.0
Macaca silenus,1,1,Y,1.0
Macaca sylvanus,1,1,Y,1.0
Macaca tonkeana,1,1,Y,1.0
Macropus eugenii,0,0,Y,1.0
Macropus fuliginosus,0,1,Y,1.0
Macropus giganteus,1,1,Y,1.0
Macropus robustus,0,0,Y,1.0
Macropus rufogriseus,1,1,Y,1.0
Macropus rufus,0,1,Y,1.0
Marmota marmota,0,0,N,4.0
Marmota monax,0,0,N,4.3
Martes americana,0,0,N,2.6
Martes foina,0,0,N,3.8
Martes martes,1,1,N,3.5
Martes pennanti,0,0,N,3.0
Mastomys natalensis,0,0,N,8.9
Megaptera novaeangliae,0,0,Y,1.0
Meles meles,0,0,N,3.1
Mellivora capensis,0,0,N,2.4
Mephitis mephitis,0,0,N,5.4
Meriones unguiculatus,0,0,N,5.0
Mesoplodon densirostris,0,0,Y,1.0
Microcebus murinus,0,0,N,2.2
Micromys minutus,0,0,N,4.9
Microtus agrestis,0,0,N,4.7
Microtus arvalis,0,0,N,5.0
Microtus californicus,0,0,N,4.4
Microtus montanus,0,0,N,5.5
Microtus ochrogaster,0,0,N,3.9
Microtus oeconomus,0,0,N,5.6
Microtus pennsylvanicus,0,0,N,5.2
Microtus townsendii,0,0,N,5.1
Miniopterus schreibersii,0,1,Y,1.0
Miopithecus talapoin,1,1,Y,1.0
Mirounga angustirostris,1,1,Y,1.0
Mirounga leonina,0,0,Y,1.0
Monachus monachus,0,0,Y,1.0
Mungos mungo,0,0,N,2.7
Muntiacus muntjak,1,1,Y,1.1
Muntiacus reevesi,0,1,Y,1.0
Mus musculus,1,1,N,5.8
Mus spretus,0,0,N,5.5
Mustela erminea,0,0,N,6.7
Mustela lutreola,0,0,N,4.5
Mustela nigripes,0,0,N,3.4
Mustela nivalis,0,0,N,5.1
Mustela putorius,0,0,N,7.9
Myocastor coypus,0,0,N,5.3
Myodes glareolus,0,0,N,4.3
Myotis bechsteinii,0,1,Y,1.0
Myotis daubentonii,0,1,Y,1.2
Myotis lucifugus,0,1,Y,1.0
Myotis myotis,0,1,N,1.5
Myotis mystacinus,0,1,Y,1.0
Myotis septentrionalis,0,0,Y,1.0
Myotis sodalis,0,0,Y,1.0
Nanger granti,1,1,Y,1.0
Nasalis larvatus,1,1,Y,1.0
Nasua narica,0,0,N,4.0
Nasua nasua,0,0,N,3.7
Neofelis nebulosa,0,0,N,2.3
Neomys fodiens,0,0,N,6.0
Neophoca cinerea,1,1,Y,1.2
Neophocaena phocaenoides,0,0,Y,1.0
Neovison vison,0,0,N,4.8
Nyctalus leisleri,0,1,N,1.7
Nyctalus noctula,0,1,N,1.7
Nyctereutes procyonoides,0,0,N,6.4
Nycticebus coucang,0,0,Y,1.1
Octodon degus,1,1,N,5.3
Odobenus rosmarus,0,1,Y,1.2
Odocoileus hemionus,1,1,N,1.6
Odocoileus virginianus,1,1,N,1.6
Ondatra zibethicus,0,0,N,6.6
Orcinus orca,0,1,Y,1.0
Oreamnos americanus,0,0,Y,1.4
Oreotragus oreotragus,0,0,Y,1.0
