Species,FSSB,MSSB,SSB
Callithrix_jacchus,0,1,1
Callithrix_kuhlii,0,0,0
Callithrix_pygmaea,0,0,0
Callorhinus_ursinus,1,1,1
Callosciurus_caniceps,0,0,0
Callosciurus_erythraeus,0,0,0
Callosciurus_nigrovittatus,0,0,0
Callosciurus_notatus,0,0,0
Calomys_callosus,0,0,0
Calomys_expulsus,0,0,0
Calomys_laucha,0,0,0
Calomys_musculinus,0,0,0
Calomys_tener,0,0,0
Calomys_tocantinsi,0,0,0
Calomyscus_bailwardi,0,0,0
Caluromys_derbianus,0,0,0
Caluromys_philander,0,0,0
Caluromysiops_irrupta,0,0,0
Camelus_dromedarius,1,0,1
Camelus_ferus,0,0,0
Canis_adustus,0,0,0
Canis_aureus,0,0,0
Canis_latrans,0,0,0
Canis_lupus,1,1,1
Canis_mesomelas,0,0,0
Canis_rufus,0,0,0
Canis_simensis,0,0,0
Cannomys_badius,0,0,0
Capra_aegagrus,0,1,1
Capra_caucasica,0,0,0
Capra_cylindricornis,0,0,0
Capra_falconeri,0,1,1
Capra_hircus,0,0,0
Capra_ibex,0,1,1
Capra_nubiana,0,0,0
Capra_pyrenaica,0,1,1
Capra_sibirica,1,1,1
Capra_walie,0,0,0
Capreolus_capreolus,0,1,1
Capreolus_pygargus,0,0,0
Capricornis_crispus,0,0,0
Capricornis_rubidus,0,0,0
Capricornis_sumatraensis,0,0,0
Capricornis_swinhoei,0,0,0
Capricornis_thar,0,0,0
Caracal_aurata,0,0,0
Caracal_caracal,0,0,0
Cardiocranius_paradoxus,0,0,0
Carollia_perspicillata,0,0,0
Castor_canadensis,0,0,0
Castor_fiber,0,0,0
Catagonus_wagneri,0,0,0
Cavia_aperea,1,1,1
Cavia_intermedia,1,1,1
Cavia_magna,0,0,0
Cavia_porcellus,0,0,0
Cebuella_pygmaea,0,0,0
Cebus_albifrons,0,1,1
Sapajus_apella,1,1,1
Cebus_capucinus,1,1,1
Cebus_libidinosus,0,0,0
Cebus_nigritus,0,0,0
Cebus_olivaceus,1,1,1
Cephalophus_adersi,0,0,0
Cephalophus_callipygus,0,0,0
Cephalophus_dorsalis,0,0,0
Cephalophus_jentinki,0,0,0
Cephalophus_leucogaster,0,0,0
Cephalophus_natalensis,0,0,0
Cephalophus_niger,0,0,0
Cephalophus_nigrifrons,0,0,0
Cephalophus_ogilbyi,0,0,0
Cephalophus_rufilatus,0,0,0
Cephalophus_silvicultor,0,0,0
Cephalophus_weynsi,0,0,0
Cephalorhynchus_commersonii,1,1,1
Cephalorhynchus_hectori,0,0,0
Ceratotherium_simum,0,0,0
Cercartetus_caudatus,0,0,0
Cercartetus_nanus,0,0,0
Cercocebus_atys,1,1,1
Cercocebus_galeritus,0,0,0
Cercocebus_torquatus,1,1,1
Cercopithecus_albogularis,0,0,0
Cercopithecus_ascanius,0,0,0
Cercopithecus_campbelli,0,0,0
Cercopithecus_cephus,0,0,0
Cercopithecus_diana,0,0,0
Cercopithecus_erythrotis,0,0,0
Cercopithecus_hamlyni,0,0,0
Cercopithecus_lhoesti,0,0,0
Cercopithecus_mitis,0,0,0
Cercopithecus_mona,0,1,1
Cercopithecus_neglectus,0,0,0
Cercopithecus_nictitans,0,0,0
Cercopithecus_petaurista,0,0,0
Cercopithecus_pogonias,0,0,0
Cercopithecus_preussi,0,0,0
Cercopithecus_pygerythrus,0,0,0
Cerdocyon_thous,0,0,0
Cervus_astylodon,1,1,1
Cervus_canadensis,0,0,0
Cervus_elaphus,1,1,1
Cervus_nippon,0,1,1
Chaetodipus_baileyi,0,0,0
Chaetodipus_californicus,0,0,0
Chaetodipus_fallax,0,0,0
Chaetodipus_formosus,0,0,0
Chaetodipus_hispidus,0,0,0
Chaetodipus_intermedius,0,0,0
Chaetodipus_nelsoni,0,0,0
Chaetodipus_penicillatus,0,0,0
Chaetophractus_vellerosus,0,0,0
Chaetophractus_villosus,0,0,0
Chalinolobus_gouldii,0,0,0
Cheirogaleus_major,0,0,0
Cheirogaleus_medius,0,0,0
Chelemys_macronyx,0,0,0
Chelemys_megalonyx,0,0,0
Chinchilla_lanigera,0,0,0
Chionomys_nivalis,0,0,0
Chironectes_minimus,0,0,0
Chiropotes_albinasus,0,0,0
Chiropotes_satanas,0,0,0
Chlorocebus_aethiops,1,1,1
Chlorocebus_pygerythrus,0,1,1
Chlorocebus_sabaeus,0,0,0
Chlorocebus_tantalus,0,0,0
Choeronycteris_mexicana,0,0,0
Choeropsis_liberiensis,0,0,0
Choloepus_didactylus,0,0,0
Choloepus_hoffmanni,0,0,0
Chrysochloris_asiatica,0,0,0
Chrysochloris_stuhlmanni,0,0,0
Chrysocyon_brachyurus,0,1,1
Chrysospalax_trevelyani,0,0,0
Civettictis_civetta,0,0,0
Clyomys_bishopi,0,0,0
Coendou_bicolor,0,0,0
Coendou_nycthemera,0,0,0
Coendou_prehensilis,0,0,0
Colobus_angolensis,0,0,0
Colobus_guereza,0,0,0
Colobus_polykomos,0,0,0
Colobus_satanas,0,0,0
Colobus_vellerosus,0,0,0
Condylura_cristata,0,0,0
Conepatus_chinga,0,0,0
Conepatus_humboldtii,0,0,0
Conepatus_leuconotus,0,0,0
Conepatus_semistriatus,0,0,0
Connochaetes_gnou,0,0,0
Connochaetes_taurinus,0,0,0
Corynorhinus_rafinesquii,0,1,1
Corynorhinus_townsendii,0,0,0
Cratogeomys_castanops,0,0,0
Cratogeomys_merriami,0,0,0
Cricetomys_emini,0,0,0
Cricetomys_gambianus,0,0,0
Cricetulus_barabensis,0,0,0
Cricetulus_migratorius,0,0,0
Cricetus_cricetus,0,0,0
Crocidura_allex,0,0,0
Crocidura_attila,0,0,0
Crocidura_crossei,0,0,0
Crocidura_dolichura,0,0,0
Crocidura_flavescens,0,0,0
