(Intercept),SOCSOG,SOCSOL
-227.502828073862,-101.997606055615,-171.057199722803
-145.742172806873,-117.221055381109,-274.705394115939
-28.0257213595323,-152.496709158033,-163.948742996959
-134.897720928988,-76.220748138745,-115.87795537943
17.9788573248952,-33.1020934218832,-91.4085317718054
-176.309134207433,-128.098767917138,-237.74868603285
-198.649410031663,-13.3472769097134,-84.1642509177254
-65.64438680085,-94.1220010992943,-90.4477556011116
-22.6119908098826,-56.6842678661687,-95.8929118241431
-19.7315442424442,-36.4939978630864,-86.8611979092675
-107.459731326864,-24.5233149472915,-85.0739640541278
-298.257506858732,-19.3384726678778,-104.127059480728
-111.672356536194,-22.5693221518375,-112.638173221436
-65.8093318007086,-33.894538552835,-87.3390072023467
-203.023872388629,-39.4234149692638,-82.7063737610006
-134.032392585723,-45.7238694674161,-59.7508075809637
-51.7104414708956,-37.0118396971811,-88.8927125941846
-117.549337183727,-57.5073960995651,-73.466194597655
-73.6843004230977,-63.625022276392,-101.854072647839
-208.73821559074,-67.1853877284884,-156.870398326078
-57.2335785974583,-61.9198586298808,-86.7992507306335
-255.169150980953,-26.0354278822269,-141.465991760251
-170.554581469602,-80.7538101726677,-141.872446297595
-166.186907180076,-43.606816024796,-145.012091844255
-184.808822384264,-50.2032234138169,-148.194294005953
-117.491427982575,-84.5391648223849,-236.292990718008
20.8544963705062,-54.1108628681977,-149.485530717851
-430.42877651233,-13.681882963283,-187.389207342501
-93.2675169810245,-99.9987056702812,-140.203809997649
-81.6261678398369,-128.711236093499,-123.548592350577
-119.153232120112,-54.2013767421304,-248.511710152728
-107.65518368702,-91.28411855796,-268.681253316747
-103.794930135802,-106.733795033462,-123.199291617268
-710.641808158049,-151.143696779371,-227.474559648697
-485.841110369693,-87.5305533802093,-316.266850030603
-328.572304534435,-46.3946731607721,-248.738654548393
-227.967956149121,-168.50914040202,-213.7532504423
-40.4380274632867,-205.65766968175,-283.847399521337
-231.189814189784,-116.882892762493,-154.308061569958
-52.2539196961152,-73.3996647262538,-162.293720115325
-83.1843527236688,-65.0932933526083,-151.768632943753
-393.4667187585,-31.0249946092372,-155.200213729506
-182.956518911451,-54.7678923234007,-133.632338922107
-178.299039637117,-25.3480112350953,-190.992151927487
54.3412347347967,-56.7726843802375,-93.7615682005053
-301.479488269593,-75.1184387576359,-98.7152124178683
-158.870028835576,-61.0581187012867,-84.6272819506557
-101.680214597338,-37.2489578039167,-149.840165201935
-157.969448752934,-54.3083621185215,-115.095614925835
-209.364259499227,-109.776029872758,-154.324330622345
-12.4416040619981,-26.1721443686547,-164.576503936711
-164.846892528152,-128.536608853785,-196.935345116886
-313.587964185263,-108.4932795317,-60.9841835239463
-608.317875909308,-37.5251687029777,-140.566359550954
-425.500082816201,-100.495029880753,-193.876753744989
-182.289389801124,-129.2345827675,-227.767908475493
-42.3137963069603,-23.2755495933816,-111.052733089426
-162.310341992534,-18.8447052506381,-129.937605748943
127.296146022709,-64.5377155025126,-186.301983021418
-315.706498229905,-134.638865931767,-120.509476716572
-274.337995128517,14.9505347130034,-138.70523483734
-183.271281384426,-74.7864106888701,-149.285089909259
-103.959496594762,-159.51017946667,-339.294384370092
-278.09357013274,-68.699370905204,-101.972758050411
-38.6954107147758,-135.567616072178,-167.556008736734
-253.525430095095,-86.2035505221938,-124.676569096424
10.8866193381546,-154.684703637733,-162.802363993454
-48.757959578099,-41.7915387085741,-175.092976965381
