Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
15	-3286.313	-3288.129	1.815972	0.4607459	0.04466744	0.0139138	0.00134889	0.907578	0.087986	0.0301985	1.9698	3.097078	0.123817	8.07641	0.460746	0.0446674	0.01618649	0.0161865	0.0161865	0.5823056	0.09888312	0.132643	0.0225244	1.03197	0.175242	0.227789	1.77221	1.520828	0.358516	2.78928	0.582306	0.0988831	0.00477818	0.000327974
16	-3290.555	-3285.443	-5.111161	0.4955375	0.4530479	0.0149645	0.0136814	0.97611	0.892414	0.0301985	1.9698	3.097078	0.123817	8.07641	0.495537	0.453048	0.01257801	0.012578	0.012578	0.5972825	0.09888312	0.10942	0.018115	1.08515	0.179651	0.183196	1.8168	1.700752	0.317544	3.14917	0.597282	0.0988831	0.00704347	0.0158301
17	-3287.91	-3285.802	-2.108368	0.4874637	0.4530479	0.022255	0.0206838	0.952672	0.885412	0.0456547	1.95435	2.784849	0.152842	6.54271	0.487464	0.453048	0.02162282	0.0216228	0.0216228	0.5972825	0.0001311674	0.0975023	2.14122e-05	1.09706	0.000240923	0.163243	1.83676	1.794331	0.29812	3.35435	0.597282	0.000131167	0.00989393	0.0174379
18	-3289.985	-3285.283	-4.701977	0.4596969	0.4530479	0.0209873	0.0206838	0.898406	0.885412	0.0456547	1.95435	2.784849	0.152842	6.54271	0.459697	0.453048	0.01051142	0.0105114	0.0105114	0.6020028	0.2925764	0.113277	0.055053	1.09073	0.5301	0.188166	1.81183	1.678876	0.322264	3.10305	0.602003	0.292576	0.00461383	0.0174379
19	-3288.847	-3283.335	-5.511449	0.4596969	0.4530479	0.00794574	0.00783081	0.911448	0.898265	0.0172847	1.98272	3.515545	0.0933687	10.7102	0.459697	0.453048	0.021148	0.021148	0.021148	0.5783457	0.2925764	0.108825	0.055053	1.04787	0.5301	0.188166	1.81183	1.678876	0.322264	3.10305	0.578346	0.292576	0.00253036	0.00755716
20	-3284.297	-3284.448	0.1511297	0.4596969	0.4530479	0.00794574	0.00783081	0.911448	0.898265	0.0172847	1.98272	3.515545	0.0933687	10.7102	0.459697	0.453048	0.021148	0.021148	0.021148	0.5588762	0.0006718451	0.0937299	0.000112676	1.02402	0.00123101	0.167711	1.83229	1.772507	0.302541	3.30534	0.558876	0.000671845	0.00350233	0.00755716
21	-3289.965	-3285.241	-4.72348	0.453258	0.4530479	0.00534086	0.00533838	0.901175	0.900757	0.0117833	1.98822	3.801625	0.0769841	12.9897	0.453258	0.453048	0.01755829	0.0175583	0.0175583	0.5571606	0.02187485	0.0934422	0.00366866	1.02088	0.040081	0.167711	1.83229	1.772507	0.302541	3.30534	0.557161	0.0218749	0.0101949	0.00755716
22	-3286.676	-3287.883	1.207167	0.453258	0.9424083	0.00719118	0.0149518	0.899325	1.86986	0.0158655	1.98413	3.579587	0.0894215	11.183	0.453258	0.942408	0.009657589	0.00965759	0.00965759	0.5571606	0.0005388671	0.100203	9.69125e-05	1.01412	0.000980822	0.179845	1.82016	1.715802	0.314337	3.1813	0.557161	0.000538867	0.00973021	0.00755716
23	-3287.796	-3286.865	-0.9308138	0.379778	0.9424083	0.00602538	0.0149518	0.753531	1.86986	0.0158655	1.98413	3.579587	0.0894215	11.183	0.379778	0.942408	0.01976797	0.019768	0.019768	0.5625174	0.006256078	0.11707	0.001302	1.00797	0.0112102	0.208117	1.79188	1.595962	0.3408	2.93427	0.562517	0.00625608	0.00687542	0.000495014
24	-3282.951	-3284.495	1.544099	0.3871669	0.9424083	0.021349	0.051966	0.752985	1.83285	0.0551417	1.94486	2.641285	0.168382	5.93887	0.387167	0.942408	0.02127048	0.0212705	0.0212705	0.4907835	0.004120897	0.102141	0.00085763	0.879427	0.00738416	0.208117	1.79188	1.595962	0.3408	2.93427	0.490784	0.0041209	0.00421851	0.000495014
25	-3289.922	-3287.09	-2.832262	0.3834096	0.9424083	0.0104373	0.0256544	0.756382	1.85916	0.0272222	1.97278	3.175115	0.117469	8.5129	0.38341	0.942408	0.009215531	0.00921553	0.00921553	0.5087831	0.01892277	0.110647	0.00411519	0.906919	0.0337303	0.217473	1.78253	1.559484	0.349289	2.86296	0.508783	0.0189228	0.00920022	0.0142308
26	-3287.983	-3283.612	-4.371715	0.4427698	0.9424083	0.0337602	0.0718566	0.851779	1.81296	0.0762478	1.92375	2.392953	0.199085	5.02297	0.44277	0.942408	0.0189232	0.0189232	0.0189232	0.5471964	0.01892277	0.119001	0.00411519	0.975392	0.0337303	0.217473	1.78253	1.559484	0.349289	2.86296	0.547196	0.0189228	0.00842804	0.0142308
27	-3283.799	-3285.168	1.36894	0.4427698	0.9424083	0.0337602	0.0718566	0.851779	1.81296	0.0762478	1.92375	2.392953	0.199085	5.02297	0.44277	0.942408	0.01354934	0.0135493	0.0135493	0.5455125	0.01892277	0.119977	0.00416178	0.971048	0.0336838	0.219935	1.78006	1.550115	0.351503	2.84492	0.545513	0.0189228	0.0063139	0.00245726
28	-3281.169	-3285.559	4.390037	0.4427698	0.9424083	0.0337602	0.0718566	0.851779	1.81296	0.0762478	1.92375	2.392953	0.199085	5.02297	0.44277	0.942408	0.02218816	0.0221882	0.0221882	0.5659283	0.0001946516	0.124467	4.28107e-05	1.00739	0.000346492	0.219935	1.78006	1.550115	0.351503	2.84492	0.565928	0.000194652	0.00278896	0.00245726
