(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
117.519175977548,93.1129539325598,-103.775895548082,-66.6023124474596,-20.410428858333,57.1360075343109,3523.54674106577,2.94967439046013
-123.830073346049,119.171575197921,-102.134625919469,-77.6448060468974,26.165068509421,52.8780621322803,-1402.30630824254,-85.8529423573636
-191.565266573863,18.9580345759896,-76.9982112758444,-56.8719901777513,30.2898462550293,36.993438353682,-1076.24256034523,-79.0251847482577
-198.726175938296,-41.8356276256309,-94.5350261740386,-100.592744314315,44.4725007162342,65.7756004733819,-3582.79348360666,-133.952217740371
-171.435420646696,79.0299802969132,-30.1737408018234,-18.1536669318011,-6.58013704395489,48.5767434547015,352.611527067682,-23.4844443411275
319.692454687007,36.6991405333902,-50.1931922919466,-39.2757978591035,-22.7427837502582,51.8935229366889,5842.17858852212,-8.60843846540956
-389.02176075731,136.649021282828,-59.1723516607308,-52.9687161149268,-44.0329363613855,54.8526738867367,-7325.67937211078,42.3949397857941
-58.7389151323951,89.3557207749327,-72.4524728484757,-96.2209629605495,20.0020021812234,47.2547507535564,697.187480361841,-56.9902415607794
-185.012065464689,70.3183563639759,-113.805076571807,-99.7617058542965,-8.64847959573672,34.8335111345186,-3238.09076564712,-34.336271546963
353.117273934986,72.8844475174774,-60.3707076837018,-92.8520075056513,7.07611983126844,45.7761447988305,7685.31667764907,-69.0469480355096
251.383916902763,26.1770312317349,-40.0452574093943,-68.4617479361768,-11.756740867233,30.1907695162081,3601.8899397369,1.71877303958172
-30.0863416489883,23.7337012037606,-96.2017286506889,-72.5770415332227,27.2365557900666,35.6005557005992,-415.32594282108,-86.681317193681
-86.6058283595048,95.1440105501533,-72.4719498911145,-120.078714325999,16.8874911570565,47.9308063411299,-1564.08118428863,-50.3157309611561
-10.2320390947207,59.2205253058087,-116.762885399105,-70.1615968986589,100.174064958934,17.9257269771624,-4681.0825375141,-159.744947296658
345.129594566592,38.8349026296687,-11.1180466811202,-6.67833468667959,-28.5401679769275,61.6406173547439,7495.68854042518,26.9225032236427
188.281824907113,37.293081125652,-65.0442203074635,-121.384249805822,40.231116656345,8.83996780102461,3524.86422168867,-53.682798660986
-93.8576649275201,7.63082777288218,-24.4910847276333,-123.053506554206,21.9441030220623,26.6444132159813,-2002.22563973315,7.25951044607791
221.509269094822,105.821813958755,-96.2775124527761,-122.968983772091,3.9281685614551,75.8743869961181,3263.24353189341,-100.13402136512
192.33104594826,69.0853251018407,-56.1659882358945,-96.4233949185291,40.4456084915437,6.98899122848525,3879.40952729892,-78.6841102054022
