Taxon,SSB
Cryptotis_equatoris,?
Cryptotis_goldmani,0
Cryptotis_goodwini,?
Cryptotis_gracilis,?
Cryptotis_griseoventris,?
Cryptotis_hondurensis,?
Cryptotis_magna,?
Cryptotis_mayensis,?
Cryptotis_medellinia,?
Cryptotis_mera,?
Cryptotis_meridensis,0
Cryptotis_merriami,?
Cryptotis_mexicana,?
Cryptotis_montivaga,?
Cryptotis_nelsoni,?
Cryptotis_nigrescens,?
Cryptotis_obscura,?
Cryptotis_orophila,?
Cryptotis_parva,0
Cryptotis_peregrina,?
Cryptotis_peruviensis,?
Cryptotis_phillipsii,?
Cryptotis_squamipes,?
Cryptotis_tamensis,?
Cryptotis_thomasi,?
Cryptotis_tropicalis,?
Diplomesodon_pulchellum,?
Episoriculus_caudatus,?
Episoriculus_fumidus,?
Episoriculus_leucops,?
Episoriculus_macrurus,?
Feroculus_feroculus,?
Megasorex_gigas,?
Myosorex_babaulti,?
Myosorex_blarina,?
Myosorex_bururiensis,?
Myosorex_cafer,?
Myosorex_eisentrauti,?
Myosorex_geata,?
Myosorex_gnoskei,?
Myosorex_jejei,?
Myosorex_kihaulei,?
Myosorex_longicaudatus,?
Myosorex_okuensis,0
Myosorex_rumpii,?
Myosorex_schalleri,?
Myosorex_sclateri,?
Myosorex_tenuis,?
Myosorex_varius,0
Myosorex_zinki,?
Nectogale_elegans,?
Neomys_anomalus,0
Neomys_fodiens,0
Neomys_teres,?
Nesiotites_hidalgo,?
Nesiotites_similis,?
Notiosorex_cockrumi,?
Notiosorex_crawfordi,0
Notiosorex_evotis,?
Notiosorex_villai,?
Paracrocidura_graueri,?
Paracrocidura_maxima,?
Paracrocidura_schoutedeni,?
Ruwenzorisorex_suncoides,?
Scutisorex_somereni,?
Solisorex_pearsoni,?
Sorex_alaskanus,?
Sorex_alpinus,?
Sorex_antinorii,?
Sorex_araneus,0
Sorex_arcticus,0
Sorex_arizonae,?
Sorex_arunchi,?
Sorex_asper,?
Sorex_bairdi,?
Sorex_bedfordiae,?
Sorex_bendirii,?
Sorex_buchariensis,?
Sorex_caecutiens,0
Sorex_camtschatica,?
Sorex_cansulus,?
Sorex_cinereus,0
Sorex_coronatus,0
Sorex_cylindricauda,?
Sorex_daphaenodon,?
Sorex_dispar,?
Sorex_emarginatus,?
Sorex_excelsus,?
Sorex_fumeus,0
Sorex_gracillimus,?
Sorex_granarius,?
Sorex_haydeni,?
Sorex_hosonoi,?
Sorex_hoyi,0
Sorex_isodon,0
Sorex_ixtlanensis,?
Sorex_jacksoni,?
Sorex_kozlovi,?
Sorex_leucogaster,?
Sorex_longirostris,0
Sorex_lyelli,?
Sorex_macrodon,?
Sorex_maritimensis,?
Sorex_mediopua,?
Sorex_merriami,?
Sorex_milleri,?
Sorex_minutissimus,?
Sorex_minutus,0
Sorex_mirabilis,?
Sorex_monticolus,0
Sorex_nanus,?
Sorex_neomexicanus,?
Sorex_oreopolus,0
Sorex_orizabae,?
Sorex_ornatus,0
Sorex_pacificus,0
Sorex_palustris,0
Sorex_planiceps,?
Sorex_portenkoi,?
Sorex_preblei,?
Sorex_pribilofensis,?
Sorex_raddei,?
Sorex_roboratus,?
Sorex_rohweri,?
Sorex_samniticus,?
Sorex_satunini,?
Sorex_saussurei,?
Sorex_sclateri,?
Sorex_shinto,?
Sorex_sinalis,?
Sorex_sonomae,?
Sorex_stizodon,?
Sorex_tenellus,?
Sorex_thibetanus,?
Sorex_trowbridgii,0
Sorex_tundrensis,?
Sorex_ugyunak,?
Sorex_unguiculatus,0
Sorex_vagrans,0
Sorex_ventralis,?
Sorex_veraecrucis,?
Sorex_veraepacis,?
Sorex_volnuchini,?
Sorex_yukonicus,?
Soriculus_nigrescens,?
Suncus_aequatorius,?
Suncus_ater,?
Suncus_dayi,?
Suncus_etruscus,0
Suncus_fellowesgordoni,?
Suncus_hosei,?
Suncus_hututsi,?
Suncus_infinitesimus,?
Suncus_lixus,?
Suncus_madagascariensis,?
Suncus_malayanus,?
Suncus_megalura,0
Suncus_mertensi,?
Suncus_montanus,?
Suncus_murinus,1
Suncus_remyi,?
