Taxon,SSB
Platyrrhinus_nigellus,?
Platyrrhinus_nitelinea,?
Platyrrhinus_recifinus,?
Platyrrhinus_umbratus,?
Platyrrhinus_vittatus,?
Pygoderma_bilabiatum,?
Rhinophylla_alethina,?
Rhinophylla_fischerae,?
Rhinophylla_pumilio,?
Scleronycteris_ega,?
Sphaeronycteris_toxophyllum,?
Stenoderma_rufum,?
Sturnira_aratathomasi,?
Sturnira_bidens,?
Sturnira_bogotensis,?
Sturnira_erythromos,?
Sturnira_koopmanhilli,?
Sturnira_lilium,?
Sturnira_ludovici,?
Sturnira_luisi,?
Sturnira_magna,?
Sturnira_mistratensis,?
Sturnira_mordax,?
Sturnira_nana,?
Sturnira_oporaphilum,?
Sturnira_perla,?
Sturnira_sorianoi,?
Sturnira_tildae,?
Tonatia_bidens,?
Tonatia_saurophila,?
Trachops_cirrhosus,?
Trinycteris_nicefori,?
Uroderma_bilobatum,?
Uroderma_magnirostrum,?
Vampyressa_melissa,?
Vampyressa_pusilla,?
Vampyressa_thyone,?
Vampyriscus_bidens,?
Vampyriscus_brocki,?
Vampyriscus_nymphaea,?
Vampyrodes_caraccioli,?
Vampyrodes_major,?
Vampyrum_spectrum,?
Xeronycteris_vieirai,?
Thyroptera_devivoi,?
Thyroptera_discifera,?
Thyroptera_lavali,?
Thyroptera_tricolor,?
Thyroptera_wynneae,?
Cistugo_lesueuri,?
Cistugo_seabrae,?
Miniopterus_africanus,?
Miniopterus_australis,?
Miniopterus_fraterculus,?
Miniopterus_fuscus,?
Miniopterus_gleni,?
Miniopterus_griveaudi,?
Miniopterus_inflatus,?
Miniopterus_macrocneme,?
Miniopterus_magnater,?
Miniopterus_majori,?
Miniopterus_manavi,?
Miniopterus_medius,?
Miniopterus_minor,?
Miniopterus_natalensis,?
Miniopterus_newtoni,?
Miniopterus_paululus,?
Miniopterus_petersoni,?
Miniopterus_pusillus,?
Miniopterus_robustior,?
Miniopterus_schreibersii,1
Miniopterus_shortridgei,?
Miniopterus_sororculus,?
Miniopterus_tristis,?
Austronomus_australis,0
Austronomus_kuboriensis,?
Chaerephon_aloysiisabaudiae,?
Chaerephon_ansorgei,?
Chaerephon_bemmeleni,?
Chaerephon_bivittatus,?
Chaerephon_bregullae,?
Chaerephon_chapini,?
Chaerephon_gallagheri,?
Chaerephon_jobensis,?
Chaerephon_jobimena,?
Chaerephon_johorensis,?
Chaerephon_major,?
Chaerephon_nigeriae,?
Chaerephon_plicatus,0
Chaerephon_pumilus,?
Chaerephon_russatus,?
Chaerephon_solomonis,?
Chaerephon_tomensis,?
Cheiromeles_parvidens,?
Cheiromeles_torquatus,?
Cynomops_abrasus,?
Cynomops_greenhalli,?
