Taxon,SSB
Phyllomys_mantiqueirensis,?
Phyllomys_medius,?
Phyllomys_nigrispinus,?
Phyllomys_pattoni,?
Phyllomys_sulinus,?
Phyllomys_thomasi,?
Phyllomys_unicolor,?
Plagiodontia_aedium,?
Plagiodontia_ipnaeum,?
Plagiodontia_spelaeum,?
Proechimys_brevicauda,?
Proechimys_canicollis,?
Proechimys_chrysaeolus,?
Proechimys_cuvieri,?
Proechimys_decumanus,?
Proechimys_echinothrix,?
Proechimys_gardneri,?
Proechimys_goeldii,?
Proechimys_guairae,0
Proechimys_guyannensis,0
Proechimys_hoplomyoides,?
Proechimys_kulinae,?
Proechimys_longicaudatus,0
Proechimys_mincae,?
Proechimys_oconnelli,?
Proechimys_pattoni,?
Proechimys_quadruplicatus,?
Proechimys_roberti,?
Proechimys_semispinosus,0
Proechimys_simonsi,0
Proechimys_steerei,?
Proechimys_trinitatis,?
Quemisia_gravis,?
Rhizoplagiodontia_lemkei,?
Santamartamys_rufodorsalis,?
Thrichomys_apereoides,0
Thrichomys_inermis,?
Thrichomys_laurentius,?
Thrichomys_pachyurus,?
Toromys_grandis,?
Toromys_rhipidurus,?
Trinomys_albispinus,?
Trinomys_dimidiatus,?
Trinomys_eliasi,?
Trinomys_gratiosus,?
Trinomys_iheringi,0
Trinomys_mirapitanga,?
Trinomys_moojeni,?
Trinomys_paratus,0
Trinomys_setosus,?
Trinomys_yonenagae,?
Xaymaca_fulvopulvis,?
Aconaemys_fuscus,0
Aconaemys_porteri,0
Aconaemys_sagei,?
Octodon_bridgesi,0
Octodon_degus,1
Octodon_lunatus,0
Octodon_pacificus,?
Octodontomys_gliroides,?
Octomys_mimax,?
Spalacopus_cyanus,0
Tympanoctomys_aureus,?
Tympanoctomys_barrerae,?
Tympanoctomys_kirchnerorum,?
Tympanoctomys_loschalchalerosorum,?
