(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
-990.84763970472,176.893578292045,-11.3819000110234,-160.461481362712,36.7076418097422,33.3300188588946,-8139.72427784301,-100.040185271893
-797.440302088187,89.0970658735246,-71.0978443425847,-60.9257327797532,73.0267345821267,38.6407709366613,-12706.2138158627,-299.97658602715
-1334.58691803948,121.794601808073,17.648114540505,-195.635341809233,70.5461441400839,13.8485766778031,-7950.33006780057,-68.0979352496252
223.019530433885,98.6647770208947,8.57785286696162,-81.4701850592567,164.493971281714,49.7335510835474,2451.18005365495,-257.418544565768
-717.416659926399,192.802957908749,-21.975130464125,-160.67690392951,81.7541535122291,57.0486355999856,-8530.9677332383,-11.0944462613988
295.582211823712,-17.3453721235564,-54.6312800601881,-112.856910220347,66.067911792954,-24.3444661278045,7357.7840173372,-234.723585679225
-426.548676120632,149.383134908737,-24.2139023417039,-70.1800029813094,45.6338601642747,19.0450928001665,-3805.07311969086,-28.8178626696608
-235.182239901078,154.512170637332,13.1843820118811,-166.437782533161,44.4580850093553,26.9889521721052,6451.09487308268,-52.8674072155409
-362.054363440126,178.204222522781,-64.6419906332521,-266.826730647852,126.71936493073,-17.4596063482538,-2057.23129222781,-82.9729064378189
-383.020514912132,84.5023375759629,49.2008683129388,-139.688985336805,147.79411822166,26.2723037083997,-3042.597593552,-174.792083354674
-229.722966045434,145.147618467998,-77.777992871168,-84.7149705500487,118.720059784442,32.5390911096656,-3478.99727287957,-206.966519273716
-172.279983436943,99.8690379967629,15.8163870194403,-176.251023053643,154.927640592938,24.7043639497133,2570.92937668326,-85.118506981933
-548.810109903818,121.144428130106,29.6588297231792,-124.243084150323,-1.71853147626098,37.9081510521132,3528.78952480995,5.05339369692956
-652.033280985248,147.332647317497,-0.392838674917584,-203.932359916842,122.198503637424,34.2867829592724,-2890.50570023604,-68.339056062352
-190.147911662105,46.3988656405954,59.9784591477364,-191.981635611699,98.6163828786521,26.1508883569477,1263.46075347523,-54.5728510779882
-546.650758948337,114.952428153338,-9.75209686714516,-180.225749922829,49.1964083594139,13.3769457357703,-1384.97351252953,-28.9473860160797
51.0766870827174,154.156785071595,19.8160655190441,-223.091183497567,116.891330729326,33.7615135522647,1681.90461273419,-111.657723265147
187.631185150909,135.976579235535,-80.0215162263339,-157.654789403328,159.782535490478,-0.460889025984216,6166.35928564402,-226.873359645157
-289.956360599346,152.812150771024,-107.383505529178,-197.055714897411,34.3385219895572,56.0516064992989,-2058.87881945603,-128.547118259787
-927.883016344422,159.057553832898,-52.5919423568157,-210.465117679239,58.2549726747093,45.2658002609387,-13128.2342900801,-52.995072439182
-369.91074908126,163.623887204274,-7.09042588420334,-153.161216157619,91.1600353162803,36.713497212666,866.265360562713,-108.781607127809
-1134.04668722089,129.936898205997,-45.5731848420837,-147.717212521864,82.0136689592036,-16.5948180248379,-10564.9016332763,-113.846455367629
-580.837592032622,106.444260691495,-53.6491594121908,-167.406261627159,-13.8461857204093,19.4732506959481,-8359.50029363728,-48.3650942027161
-642.241291242346,45.800527821164,-52.7534711157641,-118.650790135987,87.13859735406,-21.1081421851995,-7074.94579877522,-63.9768988563301
-82.303044537548,120.611027049279,-87.7989019010274,-99.9746587152185,45.3573385294876,4.71215721927001,-139.559637662256,-107.106882267653
-727.816313370233,115.871047027962,-37.105707685645,-88.0188222944162,91.8323005836501,33.259056918208,-6640.20221856028,-57.164636100526
-804.22019976833,97.3856324577064,-9.57943028661248,-98.8035724470974,73.6798113799014,66.0229287919065,-9536.92091325735,-43.0405594822078
-807.748847229741,200.759383715398,-44.2634251516138,-131.112606101073,15.5815796597763,-22.5448209081369,-15451.915880272,-3.02132555670687
-485.323550885838,67.357537404263,-18.7937831926392,-221.957293814059,96.0425614819542,73.2766813440248,-4043.81707576978,-89.0204977746762
-789.817402366214,64.1466894033802,-22.4258230841879,-113.208446731333,98.1430609947929,31.4221339953365,-9364.9427228176,-165.05502455536
-866.892821159163,93.6691830590244,-151.302046920813,-175.203326705334,128.007679291888,42.4890997420734,-11109.6907844957,-212.012714615019
-261.508029225166,92.8103785943458,-62.4040706719823,-115.589456238726,55.4773752404944,22.6089333065293,-4840.17164139224,-150.16759658212
-748.270757980208,114.848482121082,-20.3630407724258,-82.334337427129,86.7350312012568,4.47810916578965,-6368.40857685007,-35.927666903237
-250.445901995423,104.656943801761,-33.2407163574826,-174.044915430248,94.9504053251494,60.8114701194281,-1153.99900408268,-142.654225313978
