(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
-138.967583202015,82.6406757063669,-58.3022888208216,-236.807655481956,19.686009070002,7.96243013577623,106.796183576662,32.920180918285
171.15484551149,72.0321100511646,-42.8526173175305,-122.147768804207,45.3868134850272,8.60593278001761,2314.8538483264,26.2531823784593
-214.811284357311,90.4023582974914,-13.237394909258,-109.779596232169,30.9731281414279,30.8858340182269,-1298.87290601261,108.642654918978
237.693270950083,131.356396011921,-66.2816096551687,-124.719985596283,-17.2754961964965,61.0434174924594,7185.68909595716,53.2309965165914
434.845775150898,25.9686382724904,-108.94599124309,-200.797246853661,25.3197772683197,28.8670863845473,8560.65515783947,-112.891645174779
-76.9234287280124,31.293249265982,-112.352936164491,-51.8216098773632,-16.0880664905999,21.0807879161148,1504.99296425557,-6.77496234461432
142.27326411532,193.384645933897,-140.952693601168,-158.125463276498,6.47232054745837,41.1499502316292,4440.77593547714,-23.1700895426038
317.569047442357,210.221155815963,-81.6780760299298,-214.999682308975,-44.1884621737408,44.0016897632449,7650.16663532492,-36.2231143174358
-460.404879009038,65.0809723393759,-63.4291403740499,-32.7570864368718,-37.6697316664213,60.8053069901944,-2938.44045007999,33.5833904911706
276.605201931034,106.395421246736,-100.347627010393,-127.083564852277,16.920323970844,21.6639485695196,7632.59659683006,-58.4066600947372
31.7911427772924,93.1364358082938,-61.206520246571,-199.292098040729,14.7362799379625,8.38593115507683,2584.43550631497,-72.946804603358
253.705552646407,106.881380124629,57.789528279638,-133.283748974442,67.3257883071954,32.4724831239873,7284.61163590451,28.985240631202
196.722073396115,173.76072749724,-10.3413101842452,-119.76628513656,-1.90677103275084,98.1772642505821,7800.65286934118,5.82564919063907
-299.686808131795,47.4762426267698,-108.447907487822,-122.579117843977,-8.93579145057447,12.4533988966737,-6020.75802226701,-46.5252144215792
-1.22029420535546,11.2802850422086,-58.8820950961003,-96.8325106613047,20.8248148218263,74.6719768062176,409.01398980165,-63.4961174387136
