Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
12	-188.464	-215.8739	27.40993	1.582575e-06	0.01675424	6.78774e-07	0.00718597	2.48638e-06	0.0263225	0.428905	1.5711	0.9624264	0.522491	1.91391	1.58258e-06	0.0167542	0.001085205	0.00108521	0.00108521	0.215081	0.129921	0.242114	0.412883	0.1560534	1.305453e-05	0.044918	3.75758e-06	0.267189	2.23515e-05	0.287837	1.71216	1.321828	0.410016	2.43893	0.156053	1.30545e-05	0.011467	0.0330301
13	-196.1131	-217.4631	21.35007	6.53327e-05	0.01675424	2.80215e-05	0.00718597	0.000102644	0.0263225	0.428905	1.5711	0.9624264	0.522491	1.91391	6.53327e-05	0.0167542	0.009395883	0.00939588	0.00939588	0.674557	0.0538681	0.100385	0.17119	0.1560534	8.523333e-05	0.044918	2.45333e-05	0.267189	0.000145933	0.287837	1.71216	1.321828	0.410016	2.43893	0.156053	8.52333e-05	0.00956989	0.0330301
14	-193.6389	-215.4225	21.78357	1.022463e-05	0.01675424	8.89969e-06	0.0145832	1.15496e-05	0.0189253	0.870417	1.12958	0.1932065	0.877818	1.13919	1.02246e-05	0.0167542	0.001305403	0.0013054	0.0013054	0.0713635	0.15371	0.286445	0.488482	0.1712561	0.003255756	0.0492938	0.000937127	0.293218	0.00557438	0.287837	1.71216	1.321828	0.410016	2.43893	0.171256	0.00325576	0.0262451	0.0105283
15	-189.868	-215.0803	25.2123	0.0001256774	2.117387e-05	9.78687e-05	1.64887e-05	0.000153486	2.5859e-05	0.778729	1.22127	0.3335733	0.798523	1.25231	0.000125677	2.11739e-05	0.003652577	0.00365258	0.00365258	0.171221	0.0604752	0.0225741	0.745729	0.1888744	0.003820811	0.0543651	0.00109977	0.323384	0.00654185	0.287837	1.71216	1.321828	0.410016	2.43893	0.188874	0.00382081	0.0272083	0.0105283
16	-201.088	-213.6502	12.56216	0.01493435	0.001568758	0.0116298	0.00122164	0.0182389	0.00191588	0.778729	1.22127	0.3335733	0.798523	1.25231	0.0149344	0.00156876	0.002004173	0.00200417	0.00200417	0.556157	0.0623932	0.0112077	0.370243	0.1888744	0.04097448	0.0438173	0.00950574	0.333932	0.0724432	0.231992	1.76801	1.505514	0.362238	2.76062	0.188874	0.0409745	0.0259367	0.0256614
17	-185.2982	-216.3547	31.05654	5.343684e-06	0.001568758	3.7119e-06	0.00108971	6.97547e-06	0.00204781	0.694633	1.30537	0.4676549	0.729476	1.37085	5.34368e-06	0.00156876	0.008097322	0.00809732	0.00809732	0.409152	0.0764649	0.0137353	0.500648	0.2284698	2.012137e-06	0.0424685	3.7402e-07	0.414471	3.65025e-06	0.185882	1.81412	1.688863	0.3201	3.12402	0.22847	2.01214e-06	0.0183575	0.00820309
18	-187.7346	-214.9498	27.21519	5.343684e-06	0.005177747	3.7119e-06	0.00359663	6.97547e-06	0.00675886	0.694633	1.30537	0.4676549	0.729476	1.37085	5.34368e-06	0.00517775	0.003192056	0.00319206	0.00319206	0.346744	0.0841165	0.0183934	0.550746	0.2284698	3.927507e-05	0.0424685	7.30054e-06	0.414471	7.12496e-05	0.185882	1.81412	1.688863	0.3201	3.12402	0.22847	3.92751e-05	0.0187746	0.00820309
19	-198.7199	-218.0908	19.37093	0.003561241	0.01088431	0.00293965	0.00898452	0.00418283	0.0127841	0.825456	1.17454	0.2614558	0.838325	1.19285	0.00356124	0.0108843	0.001605879	0.00160588	0.00160588	0.392053	0.117102	0.015863	0.474982	0.2413719	3.927507e-05	0.0255305	4.15422e-06	0.457213	7.43959e-05	0.105772	1.89423	2.13886	0.236303	4.23185	0.241372	3.92751e-05	0.020966	0.00938934
20	-204.6313	-216.1287	11.49742	2.356892e-05	0.4440686	8.3606e-06	0.157524	3.87772e-05	0.730613	0.35473	1.64527	1.13738	0.464334	2.15362	2.35689e-05	0.444069	0.02335493	0.0233549	0.0233549	0.392303	0.0564218	0.524054	0.027221	0.03671154	0.5643743	0.0143425	0.22049	0.0590806	0.908258	0.390681	1.60932	1.049442	0.492709	2.0296	0.0367115	0.564374	0.0114631	0.0228521
21	-205.2723	-214.03	8.757672	2.356892e-05	0.4440686	1.15541e-05	0.217695	3.55837e-05	0.670443	0.490227	1.50977	0.8338491	0.569827	1.75492	2.35689e-05	0.444069	0.04994507	0.0499451	0.0499451	0.327643	0.0559344	0.54302	0.0734026	0.03529168	0.5643743	0.0137878	0.22049	0.0567956	0.908258	0.390681	1.60932	1.049442	0.492709	2.0296	0.0352917	0.564374	0.0137978	0.0395668
